Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,30.530001,30.530001,29.32,29.459999,443600,28.770618
2013-03-01,30.879999,33.75,28.33,30.540001,303700,29.825348
2013-02-01,34.099998,34.970001,29.309999,31.030001,202900,30.303883
2013-01-02,32.02,34.669998,30.700001,33.900002,203000,33.106724
2012-12-03,33.389999,33.389999,27.83,31.07,269500,30.342945
2012-11-01,36.02,36.02,28.85,33.27,229200,32.389801
2012-10-01,34.900002,36.970001,33.639999,35.73,190500,34.784718
2012-09-04,29.440001,37.509998,28.700001,34.799999,335100,33.879322
2012-08-01,23.48,29.92,23.42,29.42,266800,28.58206
2012-07-02,26.639999,28.879999,23.00,23.389999,233600,22.723804
2012-06-01,26.40,27.059999,24.00,26.59,324900,25.832663
2012-05-01,25.040001,27.25,23.41,26.950001,372700,26.182411
2012-04-02,21.690001,25.34,21.60,25.00,407200,24.287949
2012-03-01,16.60,21.790001,16.00,21.690001,279200,21.072226
2012-02-01,15.14,17.90,15.08,16.52,173100,16.011944
2012-01-03,13.68,15.23,13.00,15.03,134300,14.567766
2011-12-01,12.71,14.36,12.19,13.34,131200,12.929741
2011-11-01,11.81,13.48,10.94,12.76,143100,12.367579
2011-10-03,11.00,13.55,10.70,12.37,202800,11.989572
2011-09-01,11.93,12.50,10.00,11.16,183200,10.816784
2011-08-01,13.89,14.49,9.63,11.94,252800,11.521725
2011-07-01,12.96,14.77,12.50,13.66,206600,13.181471
2011-06-01,11.97,14.25,10.98,12.97,249400,12.515643
2011-05-02,8.93,12.36,8.80,11.95,147200,11.531375
2011-04-01,8.71,9.36,8.31,8.92,67700,8.60752
2011-03-01,8.23,8.94,7.63,8.68,69900,8.375928
2011-02-01,8.36,8.60,7.89,8.23,49000,7.914338
2011-01-03,8.64,9.66,7.95,8.29,89600,7.972036
2010-12-01,6.95,9.17,6.80,8.54,153900,8.212448
2010-11-01,7.39,7.67,6.59,6.82,102000,6.558419
2010-10-01,6.22,7.66,6.18,7.37,113100,7.087323
2010-09-01,6.73,7.27,6.09,6.18,82700,5.942966
2010-08-02,8.72,8.79,5.93,6.61,110800,6.338364
2010-07-01,7.91,9.60,7.50,8.55,100800,8.19864
2010-06-01,7.94,8.96,7.37,7.93,223600,7.604118
2010-05-03,8.11,9.65,7.61,7.97,110400,7.642474
2010-04-01,8.21,8.85,8.00,8.10,76500,7.767133
2010-03-01,6.49,8.37,6.44,8.15,128100,7.815077
2010-02-01,7.62,7.70,6.28,6.45,99300,6.177207
2010-01-04,8.23,8.72,7.31,7.59,86200,7.268993
2009-12-01,7.45,8.37,7.15,8.30,105800,7.948965
2009-11-02,8.30,8.33,6.97,7.35,134500,7.039143
2009-10-01,8.30,8.65,7.96,8.30,85700,7.948965
2009-09-01,8.70,9.23,8.21,8.31,88100,7.958542
2009-08-03,8.72,9.86,8.63,8.76,112900,8.379976
2009-07-01,11.45,12.01,8.26,8.66,204900,8.284314
2009-06-01,10.39,11.85,9.58,11.30,124900,10.809787
2009-05-01,12.78,13.25,9.12,10.21,157500,9.767073
2009-04-01,12.65,14.26,12.00,12.79,169300,12.235147
2009-03-02,13.58,13.70,10.50,12.90,187800,12.340375
2009-02-02,13.92,15.83,12.43,13.81,172800,13.162329
2009-01-02,11.77,15.85,9.85,14.21,301300,13.54357
2008-12-01,9.34,14.42,7.98,11.70,137100,11.151285
2008-11-03,14.43,15.06,7.36,9.76,134900,9.302269
2008-10-01,14.98,15.17,9.88,14.63,139500,13.943871
2008-09-02,15.18,17.76,12.58,15.08,172200,14.372767
2008-08-01,13.09,15.69,12.02,14.84,160400,14.117014
2008-07-01,12.15,13.60,9.84,13.08,184300,12.442759
2008-06-02,13.25,13.54,12.05,12.30,259900,11.70076
2008-05-01,17.32,17.969999,12.83,13.37,248100,12.71863
2008-04-01,16.00,17.90,14.71,17.299999,193300,16.457165
2008-03-03,14.92,17.200001,13.44,16.639999,173300,15.829319
2008-02-01,15.35,16.809999,14.06,15.11,155500,14.331433
2008-01-02,17.26,17.27,12.10,15.29,185400,14.502159
2007-12-03,16.09,18.969999,14.54,17.35,109700,16.456015
2007-11-01,17.299999,17.50,13.37,16.35,191200,15.507542
2007-10-01,19.40,20.299999,16.00,17.77,161900,16.854374
2007-09-04,15.87,20.25,15.65,19.52,178200,18.514202
2007-08-01,12.51,16.969999,11.51,15.66,227600,14.829367
2007-07-02,14.35,16.559999,12.50,12.60,172600,11.931675
2007-06-01,13.85,14.72,12.95,14.32,129000,13.560443
2007-05-01,14.80,15.73,12.77,13.79,136500,13.058555
2007-04-02,17.09,17.09,14.20,14.78,100700,13.996043
2007-03-01,16.799999,17.42,13.88,17.09,147700,16.183517
2007-02-01,16.709999,20.00,16.00,17.26,85900,16.305655
2007-01-03,15.97,16.85,15.46,16.719999,73300,15.795512
2006-12-01,17.82,17.82,15.10,15.90,77600,15.020852
2006-11-01,15.85,18.25,14.05,17.82,124600,16.83469
2006-10-02,13.95,16.389999,13.45,15.82,85400,14.945275
2006-09-01,15.15,16.91,13.40,14.00,110500,13.225907
2006-08-01,14.70,15.37,12.91,15.05,105100,14.192248
2006-07-03,15.60,16.309999,13.45,14.75,94200,13.909346
2006-06-01,18.90,19.26,14.09,15.48,174400,14.59774
2006-05-01,24.719999,27.75,16.610001,18.93,218000,17.851114
2006-04-03,30.619925,32.039921,21.82,24.51,128300,23.113091
2006-03-01,28.899927,30.549925,26.359936,30.549925,70200,21.606585
2006-02-01,25.949936,29.699926,24.779938,28.709929,37700,20.257858
2006-01-03,23.299942,25.979937,21.999945,25.809937,32000,18.211611
2005-12-01,23.299942,26.979935,23.199942,23.499943,36400,16.581667
2005-11-01,20.749949,23.459942,20.22995,23.049944,35600,16.264147
2005-10-03,18.219955,20.849949,18.219955,20.769949,20500,14.655372
2005-09-01,20.099951,21.519945,18.289955,18.309956,41300,12.919589
2005-08-01,24.499939,24.499939,18.039955,19.99995,59200,14.089502
2005-07-01,21.149948,24.649939,19.99995,24.499939,85200,17.259642
2005-06-01,17.999956,20.999949,17.999956,20.909948,24800,14.730575
2005-05-02,17.999956,19.899952,16.799959,17.899956,37400,12.610106
2005-04-01,45.050056,45.10006,17.449957,17.649956,54000,12.433987
2005-03-01,39.050049,45.750057,38.75005,44.870056,76500,15.804959
2005-02-01,36.120045,38.970051,35.300045,38.93005,43100,13.6764
2005-01-03,36.780045,37.000046,31.990042,35.970047,61700,12.63653
2004-12-01,38.150047,39.350052,34.500046,36.780045,47800,12.921088
2004-11-01,32.370041,40.95005,32.200039,38.25005,83200,13.43751
2004-10-01,35.850048,37.50005,31.300041,32.370041,122100,11.371823
2004-09-01,30.41004,36.000046,30.200039,35.740047,72300,12.555729
2004-08-02,31.58004,32.160042,27.250034,30.41004,64100,10.667642
2004-07-01,33.500042,34.150043,29.280037,31.440041,82500,11.028959
2004-06-01,38.400047,41.500053,33.240044,33.730045,190500,11.832277
2004-05-03,32.700043,39.410053,27.200035,38.400047,163300,13.470485
2004-04-01,47.400002,51.00,32.860043,33.050041,126200,11.593738
2004-03-01,33.75,48.189999,33.50,47.00,63100,10.991528
2004-02-02,37.650002,38.98,33.610001,35.529999,109900,8.286532
2004-01-02,37.43,45.650002,36.060001,38.970001,109700,9.088832
2003-12-01,32.00,39.00,31.00,37.450001,56300,8.734327
2003-11-03,29.85,32.00,29.65,32.00,22100,7.463243
2003-10-01,24.85,33.150002,24.85,29.639999,41700,6.912829
2003-09-02,27.200001,28.549999,24.25,25.00,61200,5.818998
2003-08-01,22.049999,27.200001,20.77,27.200001,65200,6.331069
