Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.99,17.01,16.799999,16.83,176800,13.16665
2013-03-01,16.58,17.040001,16.450001,16.950001,113300,13.26053
2013-02-01,17.10,17.610001,16.40,16.68,94500,12.904364
2013-01-02,16.209999,17.34,16.110001,17.120001,96900,13.171873
2012-12-03,16.26,16.610001,15.70,16.120001,112200,12.33387
2012-11-01,16.870001,16.959999,14.84,16.24,106400,12.352683
2012-10-01,16.41,17.09,16.34,16.84,133400,12.733952
2012-09-04,15.92,16.530001,15.78,16.469999,90100,12.383939
2012-08-01,15.64,16.209999,15.62,15.89,60900,11.87777
2012-07-02,15.30,15.87,15.06,15.60,72900,11.59236
2012-06-01,15.14,15.49,14.64,15.34,75500,11.330465
2012-05-01,15.81,15.95,14.83,15.27,86200,11.20841
2012-04-02,16.24,16.42,15.36,15.86,76700,11.571867
2012-03-01,16.76,16.99,16.059999,16.309999,79700,11.828903
2012-02-01,16.389999,16.870001,16.280001,16.780001,86800,12.101315
2012-01-03,15.02,16.370001,14.89,16.290001,124400,11.682207
2011-12-01,14.84,15.13,14.48,14.73,100900,10.501174
2011-11-01,15.59,15.75,14.18,14.88,95600,10.385924
2011-10-03,14.31,16.01,13.16,15.87,117400,11.007462
2011-09-01,16.440001,16.49,14.46,14.47,88600,9.970028
2011-08-01,18.10,18.190001,14.52,16.459999,112600,11.273348
2011-07-01,18.77,19.33,17.83,17.969999,80900,12.232266
2011-06-01,19.059999,19.129999,17.90,18.799999,96900,12.73313
2011-05-02,19.26,19.57,18.85,19.15,62200,12.903083
2011-04-01,19.83,20.10,18.67,19.17,76600,12.854327
2011-03-01,20.01,20.469999,19.00,19.809999,95700,13.219045
2011-02-01,18.719999,20.09,18.709999,20.040001,87100,13.309292
2011-01-03,18.049999,18.780001,17.99,18.780001,85800,12.411734
2010-12-01,18.120001,18.290001,17.629999,18.09,81200,11.893995
2010-11-01,18.219999,18.50,17.50,18.10,121000,11.543223
2010-10-01,17.799999,18.389999,17.67,18.190001,164700,11.541581
2010-09-01,16.99,17.85,16.93,17.68,159100,11.159758
2010-08-02,16.91,17.370001,16.60,16.90,94500,10.609919
2010-07-01,15.70,16.889999,15.31,16.83,79400,10.50806
2010-06-01,15.80,16.49,15.30,15.79,81100,9.800692
2010-05-03,17.68,17.809999,14.98,16.02,117300,9.884181
2010-04-01,16.85,17.969999,16.799999,17.639999,127100,10.822185
2010-03-01,15.86,16.91,15.85,16.799999,90900,10.250547
2010-02-01,15.25,15.80,14.65,15.80,79600,9.585341
2010-01-04,15.62,16.42,15.17,15.19,93100,9.157563
2009-12-01,14.85,15.73,14.80,15.59,79200,9.344576
2009-11-02,14.11,15.05,14.11,14.78,69500,8.803917
2009-10-01,14.80,15.39,14.24,14.24,93400,8.428996
2009-09-01,13.56,14.84,13.31,14.73,112500,8.66418
2009-08-03,13.53,14.28,13.14,13.70,127900,8.004498
2009-07-01,12.08,13.50,11.73,13.50,89200,7.834985
2009-06-01,12.29,12.81,11.64,12.01,85500,6.915635
2009-05-01,11.76,12.49,11.28,12.26,84200,7.006587
2009-04-01,9.70,11.64,9.68,11.40,69400,6.464609
2009-03-02,9.25,10.70,8.07,9.92,149700,5.577273
2009-02-02,11.97,12.14,9.04,9.56,132000,5.316865
2009-01-02,10.85,12.85,10.85,11.99,154000,6.614936
2008-12-01,9.70,10.99,7.62,10.95,138800,5.992627
2008-11-03,12.71,14.74,7.76,10.09,122400,5.462379
2008-10-01,15.58,16.08,6.67,13.11,145600,6.998857
2008-09-02,19.559999,19.93,15.63,15.97,135900,8.384004
2008-08-01,20.00,20.200001,18.57,19.58,70000,10.182478
2008-07-01,22.07,22.299999,18.950001,19.99,62300,10.305208
2008-06-02,23.889999,24.50,22.10,22.24,38900,11.370679
2008-05-01,23.43,24.25,23.209999,23.889999,41700,12.123919
2008-04-01,21.43,23.65,21.42,23.440001,43400,11.809144
2008-03-03,22.51,22.82,20.059999,21.25,51800,10.623204
2008-02-01,23.49,23.98,22.01,22.60,55400,11.209558
2008-01-02,23.50,23.75,20.50,23.389999,60900,11.515572
2007-12-03,23.190001,24.35,22.290001,23.25,75000,11.362292
2007-11-01,25.200001,25.360001,22.27,23.50,60500,11.336747
2007-10-01,25.52,25.809999,24.469999,25.15,38900,12.044567
2007-09-04,24.90,25.809999,24.08,25.559999,49900,12.158193
2007-08-01,24.959999,25.25,20.799999,24.799999,136100,11.714099
2007-07-02,27.33,28.32,24.280001,24.92,58300,11.684445
2007-06-01,27.690001,28.02,26.940001,27.629999,47400,12.874311
2007-05-01,27.85,28.860001,27.200001,27.57,49300,12.76476
2007-04-02,28.00,28.530001,27.51,27.879999,41000,12.829079
2007-03-01,26.959999,28.01,25.879999,27.959999,51000,12.787502
2007-02-01,28.00,28.67,26.68,27.040001,56100,12.286925
2007-01-03,28.209999,28.50,27.290001,28.219999,66300,12.745261
2006-12-01,27.540001,28.60,27.540001,28.280001,62300,12.693052
2006-11-01,27.139999,27.459999,25.860001,27.440001,61600,12.240212
2006-10-02,26.879999,27.34,26.23,27.030001,56800,11.978499
2006-09-01,26.10,29.75,25.700001,26.629999,103500,11.726058
2006-08-01,25.290001,26.129999,25.25,26.01,59500,11.377286
2006-07-03,24.52,25.42,24.35,25.290001,42200,10.988595
2006-06-01,24.41,25.129999,23.860001,24.360001,42200,10.511422
2006-05-01,24.75,25.17,24.440001,24.52,38100,10.506184
2006-04-03,25.15,25.34,24.040001,24.66,38800,10.493619
2006-03-01,25.23,25.40,24.610001,25.16,50200,10.632989
2006-02-01,24.700001,25.290001,24.60,25.17,65900,10.563143
2006-01-03,22.549999,24.99,22.549999,24.83,68700,10.348532
2005-12-01,23.450001,23.92,22.33,22.48,119700,9.302464
2005-11-01,23.620001,24.40,23.25,23.700001,53300,9.51722
2005-10-03,24.98,25.299999,23.02,23.620001,48700,9.41768
2005-09-01,25.75,26.27,24.75,24.90,54300,9.858986
2005-08-01,25.40,26.370001,25.030001,25.629999,84000,10.080839
2005-07-01,24.299999,25.450001,24.299999,25.450001,51500,9.944478
2005-06-01,24.07,24.799999,23.959999,24.26,52800,9.414453
2005-05-02,22.950001,24.18,22.85,24.10,56500,9.287158
2005-04-01,23.83,24.09,22.389999,23.08,62600,8.829434
2005-03-01,25.50,25.799999,23.10,23.860001,69700,9.060736
2005-02-01,25.530001,26.26,24.60,25.459999,66300,9.602234
2005-01-03,26.299999,26.950001,25.00,25.40,80200,9.515963
2004-12-01,26.68,26.99,26.08,26.32,60900,9.796538
2004-11-01,25.65,26.700001,25.50,26.540001,71600,9.624199
2004-10-01,25.35,26.15,24.75,25.41,77300,9.15347
2004-09-01,25.10,25.799999,24.950001,25.25,69900,9.035076
