Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,5.15,5.18,5.08,5.16,138000,4.147169
2013-03-01,5.14,5.18,4.67,5.14,101100,4.131094
2013-02-01,5.11,5.19,4.98,5.16,76200,4.127061
2013-01-02,4.92,5.22,4.91,5.07,78900,4.036253
2012-12-03,5.27,5.27,4.83,4.86,70300,3.85061
2012-11-01,5.11,5.27,4.77,5.25,80600,4.139644
2012-10-01,5.37,5.41,4.92,5.09,69400,3.99478
2012-09-04,5.12,5.37,5.12,5.37,49600,4.194383
2012-08-01,5.19,5.21,4.92,5.18,47200,4.025521
2012-07-02,5.24,5.52,5.05,5.16,110200,3.98879
2012-06-01,5.01,5.25,4.85,5.24,94200,4.029519
2012-05-01,5.04,5.22,4.96,5.00,64300,3.823255
2012-04-02,4.93,5.04,4.89,5.04,67200,3.832848
2012-03-01,4.95,5.02,4.63,4.90,93000,3.70481
2012-02-01,4.98,5.07,4.51,4.90,87200,3.683149
2012-01-03,4.71,5.04,4.65,4.96,87900,3.70645
2011-12-01,4.57,4.79,4.44,4.71,73700,3.498413
2011-11-01,4.51,4.63,4.43,4.57,38800,3.373027
2011-10-03,4.43,4.54,4.33,4.49,36800,3.292904
2011-09-01,4.40,4.47,4.29,4.41,26100,3.213061
2011-08-01,4.34,4.45,4.14,4.41,51900,3.191932
2011-07-01,4.38,4.50,4.25,4.32,52700,3.104993
2011-06-01,4.41,4.45,4.24,4.38,47100,3.127037
2011-05-02,4.27,4.40,4.25,4.39,52100,3.112999
2011-04-01,4.22,4.31,4.16,4.26,55800,2.999837
2011-03-01,4.27,4.32,4.12,4.22,43800,2.950693
2011-02-01,4.22,4.29,4.10,4.27,56700,2.964824
2011-01-03,4.31,4.39,3.85,4.23,93300,2.916367
2010-12-01,4.47,4.53,4.01,4.32,96200,2.957193
2010-11-01,4.79,4.85,3.93,4.45,130000,3.024681
2010-10-01,4.77,4.86,4.68,4.79,49000,3.235558
2010-09-01,4.74,4.84,4.57,4.77,61400,3.202035
2010-08-02,4.68,4.80,4.64,4.71,66100,3.141705
2010-07-01,4.53,4.72,4.49,4.68,38900,3.101978
2010-06-01,4.60,4.65,4.37,4.49,43100,2.957199
2010-05-03,4.68,4.78,4.26,4.59,37900,3.003793
2010-04-01,4.51,4.75,4.51,4.69,45500,3.049927
2010-03-01,4.43,4.56,4.35,4.55,49600,2.940511
2010-02-01,4.48,4.65,4.29,4.40,58300,2.825286
2010-01-04,4.46,4.59,4.35,4.45,49400,2.839299
2009-12-01,4.27,4.46,4.19,4.42,52100,2.802144
2009-11-02,4.24,4.25,4.09,4.24,50300,2.669858
2009-10-01,4.42,4.64,4.06,4.16,53800,2.602062
2009-09-01,4.21,4.75,4.21,4.44,56500,2.759158
2009-08-03,4.13,4.34,3.92,4.21,46400,2.600164
2009-07-01,3.79,4.42,3.68,4.04,45000,2.478415
2009-06-01,3.78,3.98,3.63,3.77,37900,2.295692
2009-05-01,3.65,3.93,3.57,3.87,32000,2.339796
2009-04-01,3.39,3.72,3.26,3.58,37600,2.147994
2009-03-02,3.20,3.40,2.86,3.32,45500,1.976501
2009-02-02,3.45,3.89,2.82,3.18,50900,1.875426
2009-01-02,2.85,3.69,2.84,3.39,43100,1.984803
2008-12-01,3.04,3.05,2.22,2.77,84500,1.608665
2008-11-03,3.50,3.82,2.78,3.04,49500,1.749013
2008-10-01,4.14,4.25,1.81,3.50,78400,1.999555
2008-09-02,5.01,5.01,3.64,4.08,54900,2.311119
2008-08-01,4.90,5.05,4.82,4.95,21700,2.788353
2008-07-01,5.13,5.21,4.77,4.84,35000,2.710843
2008-06-02,5.13,5.19,4.80,5.09,33400,2.835335
2008-05-01,5.26,5.32,5.02,5.12,38600,2.836977
2008-04-01,4.98,5.66,4.73,5.32,39800,2.932607
2008-03-03,4.85,5.20,4.69,4.92,67900,2.698002
2008-02-01,5.07,5.48,4.87,4.97,70000,2.711132
2008-01-02,4.75,5.15,4.61,5.10,54700,2.767766
2007-12-03,4.82,4.98,4.57,4.78,116300,2.580122
2007-11-01,5.29,5.45,4.74,4.90,59600,2.630351
2007-10-01,5.47,5.51,5.25,5.29,40000,2.82496
2007-09-04,5.66,5.82,5.40,5.46,31900,2.901165
2007-08-01,5.61,5.80,5.51,5.61,40200,2.966943
2007-07-02,5.71,5.79,5.50,5.62,30200,2.953271
2007-06-01,6.05,6.07,5.45,5.74,44100,3.01633
2007-05-01,6.02,6.15,6.01,6.05,33900,3.164459
2007-04-02,6.05,6.07,6.00,6.02,26800,3.134761
2007-03-01,6.01,6.12,5.99,6.08,27500,3.151875
2007-02-01,6.01,6.08,5.99,6.01,27700,3.101729
2007-01-03,5.84,6.09,5.82,6.02,33300,3.092909
2006-12-01,5.92,6.05,5.83,5.88,43100,3.007499
2006-11-01,5.83,5.96,5.75,5.96,37700,3.03449
2006-10-02,6.00,6.00,5.68,5.84,29100,2.959786
2006-09-01,5.68,5.95,5.53,5.91,45700,2.981367
2006-08-01,5.90,6.00,5.61,5.65,33400,2.83723
2006-07-03,5.72,6.00,5.67,5.89,26500,2.944777
2006-06-01,5.73,5.83,5.62,5.72,24900,2.84575
2006-05-01,5.85,5.94,5.70,5.78,30700,2.861123
2006-04-03,5.81,6.10,5.60,5.84,52200,2.876269
2006-03-01,5.79,6.07,5.76,5.84,47000,2.862203
2006-02-01,5.67,5.84,5.63,5.78,57500,2.818161
2006-01-03,5.39,5.77,5.37,5.67,62600,2.749853
2005-12-01,5.39,5.40,5.24,5.38,72000,2.595116
2005-11-01,5.36,5.47,5.18,5.39,55900,2.584875
2005-10-03,5.52,5.54,5.26,5.39,41800,2.570063
2005-09-01,5.57,5.70,5.50,5.54,31100,2.626222
2005-08-01,5.61,5.73,5.53,5.55,38300,2.616399
2005-07-01,5.57,5.64,5.54,5.62,27700,2.635919
2005-06-01,5.61,5.67,5.52,5.56,25200,2.594224
2005-05-02,5.57,5.76,5.52,5.59,30500,2.594642
2005-04-01,5.44,5.60,5.37,5.55,28100,2.562877
2005-03-01,5.91,5.96,5.38,5.44,42700,2.497466
2005-02-01,5.85,6.14,5.76,5.93,43800,2.706495
2005-01-03,5.70,6.12,5.61,5.86,47200,2.658814
2004-12-01,5.60,5.80,5.52,5.69,44500,2.566494
2004-11-01,5.76,5.80,5.44,5.66,33700,2.535141
2004-10-01,5.64,5.80,5.59,5.76,36100,2.564173
2004-09-01,5.65,5.79,5.59,5.65,28600,2.499894
2004-08-02,5.44,5.72,5.44,5.64,30300,2.4802
2004-07-01,5.44,5.59,5.30,5.48,31200,2.394964
2004-06-01,5.20,5.39,5.20,5.36,22300,2.327393
2004-05-03,5.43,5.46,5.05,5.20,48300,2.243119
2004-04-01,5.94,5.97,5.15,5.33,44700,2.283811
2004-03-01,5.88,6.07,5.86,5.94,21700,2.528472
2004-02-02,5.90,6.00,5.85,5.93,32200,2.509441
2004-01-02,5.65,6.02,5.65,5.88,29500,2.473719
2003-12-01,5.60,5.82,5.60,5.68,27900,2.375522
2003-11-03,5.58,5.75,5.53,5.65,28300,2.348466
2003-10-01,5.59,5.69,5.50,5.52,38800,2.280317
2003-09-02,5.61,5.72,5.59,5.62,27800,2.307245
2003-08-01,5.53,5.78,5.50,5.64,24500,2.301239
2003-07-01,5.97,6.02,5.51,5.55,38600,2.250709
2003-06-02,5.90,6.01,5.85,5.91,23300,2.381854
2003-05-01,5.80,6.03,5.78,5.90,29300,2.363837
2003-04-01,5.69,5.88,5.62,5.80,28200,2.310102
2003-03-03,5.64,5.75,5.59,5.69,25500,2.251907
2003-02-03,5.62,5.75,5.55,5.65,27100,2.221536
2003-01-02,5.68,5.73,5.50,5.62,27300,2.195295
2002-12-02,5.60,5.75,5.43,5.63,31300,2.184722
2002-11-01,5.65,5.80,5.61,5.67,17200,2.185603
2002-10-01,6.08,6.09,5.50,5.60,28200,2.144534
2002-09-03,6.07,6.11,5.99,6.03,30800,2.29424
2002-08-01,5.96,6.10,5.91,6.00,27200,2.268934
2002-07-01,5.95,6.00,5.86,5.88,28600,2.209797
2002-06-03,5.87,5.98,5.76,5.90,30600,2.203525
2002-05-01,5.67,5.89,5.56,5.80,37100,2.152593
2002-04-01,5.51,5.71,5.46,5.64,31800,2.079972
2002-03-01,5.53,5.68,5.43,5.55,37900,2.034124
2002-02-01,5.65,5.75,5.56,5.57,20100,2.028487
2002-01-02,5.44,5.80,5.44,5.65,23500,2.046391
2001-12-03,5.71,5.71,5.32,5.50,53700,1.981322
2001-11-01,5.70,5.83,5.63,5.65,23800,2.023674
2001-10-01,5.72,5.95,5.61,5.72,20700,2.037739
2001-09-04,6.11,6.13,5.50,5.80,40900,2.05504
2001-08-01,6.03,6.22,5.97,6.09,23300,2.145365
2001-07-02,6.02,6.16,5.90,6.03,30800,2.112793
2001-06-01,5.83,6.09,5.79,6.02,34300,2.097784
2001-05-01,5.92,6.00,5.81,5.90,26000,2.04466
2001-04-02,5.78,5.99,5.72,5.93,26300,2.043543
2001-03-01,5.95,5.97,5.76,5.76,31200,1.973987
2001-02-01,6.09,6.21,5.76,5.86,39700,1.996987
2001-01-02,5.4375,6.125,5.375,6.05,49000,2.050184
2000-12-01,5.50,5.5625,5.25,5.3125,87200,1.790465
2000-11-01,5.6875,5.8125,5.25,5.375,42700,1.800408
2000-10-02,6.125,6.125,5.5625,5.6875,38600,1.89282
2000-09-01,5.875,6.1875,5.875,6.125,38100,2.026406
2000-08-01,5.9375,6.25,5.8125,5.875,41100,1.932474
2000-07-03,5.8125,6.0625,5.75,5.9375,27700,1.941314
2000-06-01,5.50,5.9375,5.50,5.8125,34400,1.888601
2000-05-01,5.50,5.625,5.375,5.5625,28400,1.795866
2000-04-03,5.5625,5.625,5.4375,5.4375,44900,1.743833
2000-03-01,5.375,5.625,5.25,5.50,47900,1.752274
2000-02-01,5.6875,5.875,5.375,5.375,51000,1.70093
2000-01-03,5.5625,5.875,5.50,5.6875,47800,1.787982
