Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,67.599998,68.480003,67.599998,68.440002,3092200,57.863731
2013-03-01,63.700001,67.919998,63.41,67.910004,1761500,57.415638
2013-02-01,62.18,64.870003,61.439999,64.139999,2178800,54.228226
2013-01-02,62.080002,63.419998,60.779999,62.84,1811100,52.482334
2012-12-03,59.00,61.330002,58.169998,61.290001,1899100,51.187817
2012-11-01,59.509998,60.73,58.00,58.889999,2302100,49.183399
2012-10-01,57.919998,60.91,56.880001,59.43,1771200,49.015739
2012-09-04,58.419998,59.939999,56.48,57.740002,3774200,47.621891
2012-08-01,62.400002,62.799999,57.130001,58.439999,2323800,48.199223
2012-07-02,58.52,62.549999,58.040001,62.23,1627300,50.714359
2012-06-01,54.52,58.34,53.509998,58.299999,1732900,47.511604
2012-05-01,56.740002,57.950001,53.720001,55.470001,1549100,45.205296
2012-04-02,54.84,56.91,52.400002,56.700001,1581800,45.607586
2012-03-01,54.580002,55.330002,53.509998,54.959999,2102200,44.207989
2012-02-01,57.43,57.66,53.259998,54.439999,3000700,43.789715
2012-01-03,55.209999,57.48,53.599998,57.209999,1850400,45.422791
2011-12-01,50.00,55.169998,49.310001,54.529999,1778900,43.29496
2011-11-01,50.849998,53.77,47.080002,50.169998,2806900,39.833271
2011-10-03,46.619999,53.880001,43.650002,52.689999,2501100,41.269592
2011-09-01,51.09,51.529999,46.150002,46.799999,2285700,36.656231
2011-08-01,50.740002,51.310001,41.029999,50.959999,3742300,39.914562
2011-07-01,52.439999,54.630001,51.700001,52.779999,1605800,40.715176
2011-06-01,53.040001,53.77,49.790001,52.43,1814900,40.445183
2011-05-02,54.09,54.259998,50.50,53.189999,1868800,41.031456
2011-04-01,52.610001,55.209999,51.599998,53.77,1958700,40.915047
2011-03-01,51.299999,52.740002,50.169998,52.439999,3771600,39.903011
2011-02-01,49.43,52.240002,48.139999,52.220001,1474600,39.735611
2011-01-03,48.029999,49.279999,46.75,49.080002,1645600,36.824028
2010-12-01,44.450001,47.959999,44.07,47.639999,2397500,35.743614
2010-11-01,51.259998,52.060001,45.130001,46.279999,1637700,34.723225
