Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.73,11.76,11.50,11.62,811400,19.935881
2013-03-01,11.40,12.21,11.26,11.75,883600,20.158916
2013-02-01,10.73,11.75,10.69,11.48,1274000,19.44928
2013-01-02,9.94,10.73,9.90,10.71,622100,18.144756
2012-12-03,10.81,10.85,9.61,9.90,499900,16.772463
2012-11-01,9.99,11.68,9.92,10.77,736600,17.98366
2012-10-01,9.78,10.21,9.72,10.00,155800,16.69792
2012-09-04,9.39,9.98,9.39,9.78,150500,16.330564
2012-08-01,9.15,9.45,9.07,9.40,85200,15.468656
2012-07-02,9.90,9.93,9.08,9.19,129800,15.123079
2012-06-06,9.90,10.05,9.75,9.92,186200,16.324369
