Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,16.790001,16.91,16.57,16.60,7081200,15.484155
2013-03-01,16.93,18.27,16.540001,16.799999,3075500,15.67071
2013-02-01,18.030001,18.32,16.110001,16.98,3647300,15.790215
2013-01-02,18.82,18.98,17.24,17.93,3228900,16.673649
2012-12-03,18.719999,19.18,17.450001,18.459999,2505200,17.166512
2012-11-01,18.58,19.76,17.48,18.65,2895300,17.343199
2012-10-01,18.23,19.690001,17.76,18.60,1811100,17.249365
2012-09-04,18.940001,19.43,17.58,18.110001,2432900,16.794945
2012-08-01,15.38,19.059999,14.92,18.940001,3135100,17.515654
2012-07-02,14.93,15.65,14.28,15.32,2263700,14.167888
2012-06-01,14.29,14.90,13.52,14.84,2907500,13.723986
2012-05-01,15.35,16.07,14.14,14.61,3482100,13.46169
2012-04-02,15.12,15.96,14.44,15.36,2182500,14.152742
2012-03-01,15.01,15.79,14.90,15.10,2714100,13.913178
2012-02-01,11.49,15.29,11.35,15.01,3590600,13.781677
2012-01-03,11.34,11.92,10.48,11.44,2546800,10.503822
2011-12-01,10.38,11.35,10.11,11.14,2848100,10.228374
2011-11-01,12.00,12.58,9.57,10.40,4127700,9.503021
2011-10-03,11.19,13.15,10.52,12.36,3115700,11.293976
2011-09-01,13.85,14.03,11.42,11.43,2926000,10.444186
2011-08-01,15.27,15.34,11.50,13.92,4847600,12.672667
2011-07-01,15.27,16.50,14.78,15.09,2247000,13.737826
2011-06-01,15.08,15.60,13.18,15.23,3360500,13.86528
2011-05-02,14.69,15.64,13.56,15.08,3963500,13.677149
2011-04-01,14.90,15.50,14.38,14.62,2802100,13.259942
2011-03-01,13.83,15.09,12.99,14.89,3678100,13.504825
2011-02-01,11.04,14.00,10.93,13.74,4205100,12.415583
2011-01-03,12.11,12.23,10.64,10.92,3834600,9.867406
2010-12-01,12.28,12.91,11.59,12.03,2971400,10.870412
2010-11-01,9.80,12.31,9.60,12.05,4442900,10.853045
2010-10-01,10.64,11.50,9.53,9.72,5015000,8.75449
2010-09-01,8.40,11.00,8.33,10.52,4423400,9.475024
2010-08-02,9.54,9.70,8.22,8.26,4988400,7.405152
2010-07-01,9.85,10.49,8.91,9.37,4158700,8.400275
