Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,99.300003,99.440002,97.760002,97.959999,856000,92.371292
2013-03-01,99.93,103.830002,96.50,99.160004,641800,93.502831
2013-02-01,95.620003,101.32,94.889999,100.279999,526600,94.189018
2013-01-02,92.82,95.900002,88.599998,95.239998,554300,89.455147
2012-12-03,88.839996,93.459999,86.25,91.290001,618200,85.745071
2012-11-01,88.910004,91.300003,85.080002,88.57,650000,82.825928
2012-10-01,82.669998,88.989998,78.489998,88.970001,570700,83.199989
2012-09-04,82.949997,86.43,79.580002,82.300003,686300,76.962563
2012-08-01,79.739998,84.360001,78.150002,83.07,420100,77.318817
2012-07-02,83.949997,84.730003,76.010002,79.32,591500,73.828438
2012-06-01,85.07,87.339996,79.709999,84.010002,657500,78.193741
2012-05-01,91.690002,93.050003,83.050003,86.809998,652900,80.423187
2012-04-02,88.720001,91.849998,85.870003,91.639999,468200,84.897835
2012-03-01,82.50,89.900002,80.239998,88.970001,462300,82.424278
2012-02-01,79.529999,82.730003,75.779999,82.330002,535000,75.977097
2012-01-03,79.68,81.620003,76.959999,78.93,641600,72.839455
2011-12-01,76.50,80.589996,74.870003,78.080002,567900,72.055038
2011-11-01,67.050003,77.099998,66.910004,76.949997,722400,70.715538
2011-10-03,63.529999,72.389999,61.299999,68.949997,787500,63.363693
2011-09-01,64.599998,68.07,59.66,63.82,898500,58.649326
2011-08-01,69.379997,69.580002,58.00,64.879997,1038400,59.31041
2011-07-01,70.120003,70.919998,68.150002,68.699997,697800,62.802483
2011-06-01,68.629997,70.519997,65.260002,70.040001,916900,64.027458
2011-05-02,69.510002,69.919998,65.910004,69.080002,1021800,62.871799
2011-04-01,66.559998,69.480003,65.220001,69.449997,809600,63.208546
2011-03-01,62.639999,67.410004,60.759998,66.419998,1400500,60.450851
2011-02-01,62.790001,64.730003,61.450001,62.580002,2145500,56.690956
2011-01-03,63.07,64.279999,61.900002,62.669998,1141700,56.772484
2010-12-01,61.700001,66.50,60.549999,62.459999,2665200,56.582245
2010-11-01,71.050003,71.279999,60.310001,61.099998,2137600,55.131969
2010-10-01,68.230003,71.150002,67.370003,70.889999,1310500,63.965721
2010-09-01,66.230003,68.300003,63.02,67.949997,2158800,61.312885
2010-08-02,65.760002,66.989998,64.839996,65.800003,891100,59.144608
2010-07-01,62.529999,65.93,61.470001,65.290001,1061100,58.686192
2010-06-01,62.049999,64.470001,61.68,62.200001,898400,55.908733
2010-05-03,63.57,64.300003,59.259998,62.470001,1779100,55.955338
2010-04-01,64.00,64.459999,62.099998,63.450001,759200,56.833138
2010-03-01,63.75,66.059998,63.25,63.619999,1323000,56.985405
2010-02-01,43.18,65.529999,42.75,64.139999,3965000,57.256039
2010-01-04,48.27,49.759998,41.82,42.259998,1030900,37.724354
2009-12-01,46.689999,48.490002,46.16,47.599998,525600,42.49123
2009-11-02,44.73,48.860001,44.32,46.25,684000,41.129932
2009-10-01,48.389999,51.00,44.119999,44.360001,840000,39.449162
2009-09-01,46.34,50.290001,44.34,48.369999,1635800,43.015236
2009-08-03,44.869999,47.380001,43.150002,46.50,489800,41.191387
2009-07-01,40.740002,45.130001,36.68,44.580002,819300,39.490585
2009-06-01,43.200001,45.27,39.400002,40.529999,875500,35.902943
2009-05-01,42.900002,45.09,40.00,42.259998,1116600,37.272911
2009-04-01,33.630001,44.279999,32.52,43.119999,844100,38.031425
2009-03-02,29.969999,35.580002,26.290001,33.810001,1121900,29.820095
2009-02-02,34.77,40.639999,29.67,30.790001,1330600,27.005459
2009-01-02,39.200001,41.09,35.139999,35.310001,1591700,30.969885
2008-12-01,35.009998,40.34,30.24,38.990002,923000,34.197559
