Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,14.82,14.92,14.75,14.90,778000,12.853716
2013-03-01,13.68,14.97,13.47,14.85,1454200,12.810583
2013-02-01,12.77,13.83,12.69,13.75,2595300,11.861651
2013-01-02,12.25,13.25,12.10,12.73,2395900,10.981731
2012-12-03,12.00,12.44,11.74,12.19,1077800,10.386493
2012-11-01,11.69,11.97,10.95,11.93,1177200,10.164961
2012-10-01,12.30,12.69,11.49,11.61,1363600,9.892303
2012-09-04,12.23,12.98,12.10,12.19,1206700,10.260034
2012-08-01,11.91,12.46,11.65,12.20,985100,10.268451
2012-07-02,12.18,12.34,11.21,11.88,1666000,9.999114
2012-06-01,10.94,12.36,10.79,12.34,2099200,10.260035
2012-05-01,11.92,12.19,11.00,11.23,1527400,9.33713
2012-04-02,11.52,11.93,10.57,11.86,1633200,9.86094
2012-03-01,10.85,11.62,10.74,11.48,1389900,9.421244
2012-02-01,10.75,11.53,9.48,10.81,2183200,8.871399
2012-01-03,9.49,10.66,9.25,10.64,1623100,8.731885
2011-12-01,8.63,9.75,8.37,9.50,1516600,7.673226
2011-11-01,8.75,9.61,8.01,8.71,2067600,7.035137
2011-10-03,7.72,9.53,6.77,9.11,2944900,7.35822
2011-09-01,9.92,9.96,7.85,8.01,2130200,6.348585
2011-08-01,12.16,12.18,8.44,9.94,2951200,7.878269
2011-07-01,11.45,12.39,11.37,11.99,2087300,9.503062
2011-06-01,12.72,12.72,10.94,11.59,1347300,9.067142
2011-05-02,12.78,12.84,11.82,12.76,1152600,9.982462
2011-04-01,12.09,12.71,11.68,12.70,1366200,9.935522
2011-03-01,12.38,12.45,11.51,12.14,1650100,9.380073
2011-02-01,11.64,12.50,11.53,12.30,1811000,9.503697
2011-01-03,11.73,12.00,11.01,11.60,1982700,8.962837
2010-12-01,11.20,11.71,10.17,11.65,1562500,8.888858
2010-11-01,12.02,12.24,10.74,11.06,1878500,8.438693
2010-10-01,12.20,13.08,11.83,11.97,1451900,9.133016
2010-09-01,11.13,12.71,11.03,12.25,1732200,9.232203
2010-08-02,11.48,11.74,10.45,10.99,1350100,8.282605
