Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,28.40,28.40,27.940001,28.34,434800,24.870396
2013-03-01,28.25,28.969999,27.530001,28.370001,78600,24.896723
2013-02-01,33.68,34.200001,27.040001,28.35,176400,24.731598
2013-01-02,33.07,33.720001,31.959999,33.630001,95300,29.337696
2012-12-03,30.49,33.240002,29.99,32.560001,105900,28.404264
2012-11-01,26.15,30.50,26.15,30.200001,101500,26.345478
2012-10-01,25.34,26.280001,24.950001,26.110001,63300,22.648424
2012-09-04,24.43,26.60,23.940001,25.23,100600,21.885092
2012-08-01,26.290001,26.50,24.02,24.450001,86600,21.060556
2012-07-02,27.129999,28.48,26.110001,26.24,88400,22.602411
2012-06-01,24.219999,27.059999,24.10,27.049999,102500,23.300123
2012-05-01,27.209999,27.65,24.57,25.110001,160600,21.629063
2012-04-02,30.51,31.139999,26.860001,27.27,124700,23.331163
2012-03-01,30.24,31.00,28.030001,30.639999,115600,26.214405
2012-02-01,28.35,31.790001,28.200001,30.129999,144100,25.64249
2012-01-03,26.030001,28.379999,25.620001,28.02,86400,23.84675
2011-12-01,24.629999,26.91,23.790001,25.35,114700,21.574415
2011-11-01,26.040001,27.17,21.959999,24.790001,140000,21.097822
2011-10-03,22.049999,27.549999,20.91,25.780001,109000,21.799246
2011-09-01,24.879999,25.200001,19.85,22.25,179800,18.814322
2011-08-01,31.950001,31.950001,22.360001,24.90,178900,20.913376
2011-07-01,29.629999,32.259998,29.00,29.219999,126900,24.541719
2011-06-01,31.33,31.33,28.469999,29.610001,96100,24.86928
2011-05-02,32.00,32.380001,29.43,31.459999,99500,26.423082
2011-04-01,30.50,31.379999,29.040001,30.290001,78600,25.315577
2011-03-01,30.00,30.42,27.35,30.379999,113000,25.390795
2011-02-01,28.57,30.360001,25.129999,29.93,154900,24.888021
2011-01-03,29.60,30.42,27.790001,28.32,88700,23.54924
2010-12-01,28.629999,29.67,28.200001,29.299999,96700,24.364149
2010-11-01,26.42,29.719999,25.209999,28.290001,138700,23.524294
2010-10-01,27.00,27.42,25.07,26.209999,100900,21.694889
2010-09-01,21.83,27.00,21.52,26.93,176900,22.290857
2010-08-02,27.83,29.370001,20.34,21.620001,179600,17.787989
2010-07-01,24.059999,26.969999,22.889999,26.059999,136200,21.441025
2010-06-01,23.91,25.219999,22.16,24.16,166000,19.877787
2010-05-03,25.92,27.82,23.809999,24.129999,357600,19.853104
2010-04-01,21.43,23.959999,21.049999,22.139999,252800,18.117559
2010-03-01,18.110001,22.209999,18.07,21.34,279400,17.462906
2010-02-01,22.860001,23.41,16.450001,18.02,606900,14.746091
2010-01-04,23.82,25.16,22.620001,22.84,135500,18.55162
2009-12-01,22.540001,25.16,22.219999,23.59,150900,19.160803
2009-11-02,25.059999,25.65,21.90,22.290001,168700,18.104887
2009-10-01,26.200001,27.299999,24.42,24.82,119100,20.044611
2009-09-01,23.959999,28.07,22.93,26.27,154800,21.21563
2009-08-03,24.33,26.09,22.860001,24.139999,205300,19.495443
2009-07-01,23.459999,25.950001,20.950001,25.059999,153900,20.132002
2009-06-01,21.85,24.969999,21.85,23.27,210700,18.694002
2009-05-01,26.530001,30.65,21.17,21.50,428200,17.27207
2009-04-01,20.860001,27.66,20.15,26.66,352800,21.298634
2009-03-02,19.02,22.00,18.040001,21.129999,324400,16.880726
2009-02-02,20.40,24.440001,18.370001,19.459999,447100,15.546564
2009-01-02,21.200001,24.15,18.700001,21.09,291100,16.740976
2008-12-01,16.99,22.01,14.38,21.68,275600,17.209312
2008-11-03,19.799999,20.370001,13.29,17.08,237700,13.557889
2008-10-01,26.98,27.16,15.30,19.99,447000,15.719513
2008-09-02,27.65,30.00,25.83,27.219999,348200,21.404959
2008-08-01,27.700001,29.469999,26.48,27.40,301400,21.546507
2008-07-01,27.549999,29.00,24.48,28.709999,314700,22.468107
2008-06-02,27.799999,31.190001,26.82,27.889999,316300,21.826385
2008-05-01,27.889999,31.76,25.629999,27.92,392900,21.849863
2008-04-01,23.610001,27.85,23.540001,26.190001,300500,20.412577
2008-03-03,24.549999,25.77,22.82,23.610001,426500,18.401716
2008-02-01,30.120001,31.639999,23.66,24.66,465400,19.220089
2008-01-02,28.120001,30.77,24.41,29.959999,275200,23.252134
2007-12-03,32.630001,32.630001,27.629999,28.280001,274900,21.948278
2007-11-01,39.299999,39.669998,31.219999,32.68,334300,25.363144
2007-10-01,36.450001,41.869999,36.380001,39.880001,328200,30.846832
2007-09-04,34.419998,37.98,34.299999,36.299999,322900,28.077732
2007-08-01,34.50,37.290001,29.91,34.50,481000,26.685448
2007-07-02,33.700001,36.450001,32.189999,32.700001,280700,25.211718
2007-06-01,36.599998,36.889999,33.490002,33.490002,291800,25.820808
2007-05-01,33.009998,36.900002,32.799999,36.459999,383200,28.110678
