Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,72.529999,73.269997,72.07,72.610001,1686400,30.75428
2013-03-01,66.620003,72.68,66.50,72.480003,832200,30.699219
2013-02-01,62.970001,69.050003,61.84,66.809998,1420900,28.297665
2013-01-02,61.990002,63.990002,60.990002,62.939999,952900,26.311041
2012-12-03,61.75,64.93,58.080002,61.200001,1538900,25.583664
2012-11-01,57.009998,61.630001,55.02,61.48,728200,25.700712
2012-10-01,58.900002,64.949997,53.209999,57.110001,1230900,23.498465
2012-09-04,55.349998,59.990002,55.099998,58.799999,775700,24.19383
2012-08-01,58.209999,59.00,53.720001,55.23,564800,22.72492
2012-07-02,54.450001,62.369999,52.48,57.610001,699600,23.44532
2012-06-01,43.669998,54.23,43.669998,54.18,1117000,22.049427
2012-05-01,47.82,48.939999,43.130001,45.630001,680700,18.569866
2012-04-02,46.689999,48.110001,44.459999,47.91,506300,19.234739
2012-03-01,45.529999,47.91,44.259998,46.77,665800,18.777056
2012-02-01,44.299999,49.040001,43.41,45.259998,761900,18.170826
2012-01-03,42.799999,44.169998,40.439999,43.830002,489800,17.36784
2011-12-01,38.200001,41.639999,36.860001,41.240002,651600,16.341539
2011-11-01,34.689999,38.240002,34.240002,38.00,658300,15.033899
2011-10-03,27.469999,36.919998,24.719999,35.900002,1195500,14.203079
2011-09-01,33.439999,34.150002,27.700001,27.719999,850200,10.966834
2011-08-01,35.50,35.689999,28.559999,33.549999,1113600,13.249614
2011-07-01,37.400002,39.990002,33.68,35.209999,927000,13.905183
2011-06-01,79.610001,80.190002,36.200001,37.450001,1408200,14.789807
2011-05-02,68.589996,80.50,68.349998,79.699997,882800,15.737618
2011-04-01,72.480003,73.989998,66.50,68.529999,417900,13.521009
2011-03-01,62.52,72.419998,60.16,72.00,553000,14.205643
2011-02-01,59.740002,66.50,58.240002,62.360001,465500,12.303665
2011-01-03,54.709999,60.599998,53.959999,59.34,343700,11.696106
2010-12-01,54.66,57.00,52.279999,54.400002,280400,10.722416
2010-11-01,52.099998,54.369999,49.990002,54.25,904200,10.681397
2010-10-01,44.349998,53.200001,43.32,51.279999,272800,10.096628
2010-09-01,38.150002,45.50,38.09,43.959999,235700,8.655377
2010-08-02,32.599998,38.150002,31.85,37.810001,338900,7.444491
2010-07-01,33.50,36.16,31.950001,32.470001,329600,6.393087
2010-06-01,35.00,37.220001,32.049999,33.630001,47000,6.621482
2010-05-11,42.00,42.00,32.00,35.00,296200,6.891224
