Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,4.07,4.10,4.06,4.06,1040600,6.073316
2013-03-01,3.97,4.12,3.97,4.09,796300,6.118193
2013-02-01,4.03,4.07,3.90,4.00,899500,5.944062
2013-01-02,4.10,4.29,3.82,4.02,1460600,5.93356
2012-12-03,4.15,4.15,3.95,4.03,719800,5.871882
2012-11-01,4.24,4.30,3.71,4.13,669700,5.937059
2012-10-01,4.46,4.53,4.21,4.22,577600,5.984859
2012-09-04,4.38,4.58,4.33,4.43,684000,6.204329
2012-08-01,4.25,4.45,4.19,4.38,511500,6.060314
2012-07-02,4.17,4.36,4.13,4.25,547500,5.807762
2012-06-01,4.10,4.23,3.97,4.17,490700,5.626391
2012-05-01,4.64,4.69,4.10,4.15,487100,5.5266
2012-04-02,4.72,4.79,4.56,4.64,506500,6.098221
2012-03-01,4.80,4.83,4.61,4.74,539500,6.15721
2012-02-01,4.63,4.84,4.62,4.80,568700,6.163854
2012-01-03,4.43,4.65,4.36,4.60,584300,5.839901
2011-12-01,4.52,4.64,4.29,4.38,697700,5.493971
2011-11-01,4.75,4.88,4.26,4.48,456900,5.549638
2011-10-03,4.50,5.00,4.15,4.90,536700,5.998582
2011-09-01,5.30,5.33,4.45,4.51,512400,5.457349
2011-08-01,5.79,5.87,4.62,5.27,791100,6.306844
2011-07-01,6.09,6.24,5.58,5.66,471700,6.700669
2011-06-01,6.23,6.24,5.79,6.07,441200,7.121048
2011-05-02,6.37,6.39,5.90,6.21,454500,7.218619
2011-04-01,6.15,6.37,6.10,6.33,463800,7.293357
2011-03-01,6.14,6.18,5.63,6.15,455100,7.023407
2011-02-01,6.10,6.25,5.94,6.12,515900,6.925609
2011-01-03,5.94,6.28,5.94,6.04,617900,6.774735
2010-12-01,5.72,5.98,5.72,5.92,629100,6.521518
2010-11-01,5.64,5.98,5.62,5.66,520300,6.166166
2010-10-01,5.49,5.81,5.44,5.63,492000,6.076404
2010-09-01,5.08,5.59,5.08,5.44,552600,5.815469
2010-08-02,5.39,5.56,4.84,5.06,551800,5.355829
2010-07-01,4.96,5.53,4.90,5.34,720800,5.595574
2010-06-01,6.79,7.59,4.83,4.95,1369400,5.13298
2010-05-03,8.98,9.02,6.04,6.91,1199300,7.050016
2010-04-01,9.09,9.36,8.85,8.91,550700,8.947007
2010-03-01,8.39,9.30,8.39,9.05,480500,8.970456
2010-02-01,8.68,8.75,7.28,8.45,724400,8.2643
2010-01-04,9.03,9.24,8.45,8.50,564500,8.193011
2009-12-01,8.85,9.20,8.80,8.92,442300,8.485453
2009-11-02,8.50,9.11,8.22,8.72,468300,8.178652
2009-10-01,8.95,9.36,8.17,8.47,502400,7.839414
2009-09-01,8.34,9.35,8.14,8.97,560600,8.194602
2009-08-03,7.99,8.50,7.88,8.36,439000,7.53717
2009-07-01,7.67,8.10,6.86,7.83,410300,6.958727
2009-06-01,7.99,8.10,7.30,7.66,411800,6.706789
2009-05-01,6.63,7.75,6.55,7.69,413900,6.632186
2009-04-01,5.74,6.89,5.65,6.56,376900,5.562273
2009-03-02,5.46,6.12,4.22,5.74,472600,4.781975
2009-02-02,7.34,8.00,5.30,5.54,498400,4.520844
2009-01-02,6.26,8.25,6.24,7.40,480900,5.884055
2008-12-01,6.06,6.65,5.33,6.18,509500,4.792481
2008-11-03,8.19,8.70,4.82,6.24,507000,4.69784
2008-10-01,8.95,9.35,4.52,8.15,675100,5.977797
2008-09-02,12.00,12.22,7.82,9.16,731100,6.571481
2008-08-01,13.29,13.29,11.48,11.77,301800,8.298059
2008-07-01,14.68,14.82,11.40,13.10,403200,9.099244
2008-06-02,16.780001,17.00,14.31,14.88,232600,10.197412
2008-05-01,16.99,17.549999,16.50,16.719999,222400,11.333304
2008-04-01,16.09,17.040001,16.09,16.90,186700,11.337824
2008-03-03,17.030001,17.10,15.21,16.10,202200,10.686556
2008-02-01,17.389999,17.629999,16.51,17.049999,240000,11.19068
2008-01-02,16.99,17.93,13.92,17.25,342400,11.204825
2007-12-03,18.48,19.190001,16.450001,16.98,509400,10.916194
2007-11-01,19.75,19.83,16.40,18.48,329500,11.390492
2007-10-01,19.66,20.290001,19.219999,19.90,224100,12.147671
2007-09-04,19.719999,19.940001,19.290001,19.65,219200,11.887536
2007-08-01,19.940001,20.00,16.549999,19.629999,319200,11.767587
2007-07-02,20.719999,21.450001,19.50,20.00,286700,11.870488
2007-06-01,21.469999,21.75,19.48,20.74,314100,12.204285
2007-05-01,21.59,21.85,20.450001,21.43,312800,12.502988
2007-04-23,21.41,21.709999,21.18,21.58,397500,12.486402
