Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,7.81,7.82,7.76,7.76,962800,6.032519
2013-03-01,7.79,7.91,7.65,7.82,529100,6.079163
2013-02-01,7.82,7.89,7.63,7.81,672600,5.963521
2013-01-02,7.24,7.90,7.23,7.80,917200,5.955885
2012-12-03,7.41,7.42,7.05,7.18,709000,5.482469
2012-11-01,7.41,7.58,6.87,7.40,661800,5.543265
2012-10-01,7.58,7.69,7.38,7.41,584900,5.550756
2012-09-04,7.40,7.56,7.29,7.56,996400,5.66312
2012-08-01,7.38,7.53,7.30,7.40,455600,5.417113
2012-07-02,7.24,7.45,7.13,7.36,470700,5.387832
2012-06-01,7.00,7.34,6.83,7.24,533500,5.299986
2012-05-01,7.56,7.62,7.00,7.11,507700,5.081587
2012-04-02,7.54,7.60,7.26,7.57,582300,5.410354
2012-03-01,7.64,7.68,7.31,7.50,732800,5.360323
2012-02-01,7.45,7.73,7.44,7.60,354200,5.309001
2012-01-03,7.11,7.59,7.09,7.44,277500,5.197233
2011-12-01,7.13,7.27,6.82,7.07,301500,4.938769
2011-11-01,7.04,7.32,6.83,7.15,242700,4.874214
2011-10-03,6.90,7.52,6.53,7.29,260200,4.969653
2011-09-01,7.50,7.56,6.71,6.98,257000,4.758324
2011-08-01,7.75,7.78,6.30,7.53,324600,5.011724
2011-07-01,8.24,8.32,7.56,7.62,276700,5.071625
2011-06-01,8.79,8.85,7.65,8.28,338900,5.5109
2011-05-02,8.86,8.94,8.64,8.80,199700,5.734373
2011-04-01,8.88,8.96,8.64,8.83,189700,5.753922
2011-03-01,8.58,8.95,8.13,8.94,244200,5.825601
2011-02-01,8.43,8.69,8.40,8.55,241300,5.413111
2011-01-03,8.72,8.85,8.38,8.40,247300,5.318144
2010-12-01,9.12,9.28,8.61,8.70,222400,5.508078
2010-11-01,9.08,9.14,8.63,9.04,212900,5.570921
2010-10-01,8.36,9.08,8.34,8.99,204600,5.540108
2010-09-01,8.25,8.65,8.13,8.33,204600,5.133382
2010-08-02,8.33,8.53,8.01,8.15,150700,4.879208
2010-07-01,7.78,8.36,7.51,8.26,170900,4.945063
2010-06-01,8.20,8.44,7.77,7.80,195900,4.669672
2010-05-03,8.81,8.90,7.23,8.29,312900,4.817226
2010-04-01,8.90,9.02,8.73,8.81,166400,5.119393
2010-03-01,8.94,9.23,8.66,8.86,189900,5.148447
2010-02-01,8.38,8.89,8.03,8.83,214500,4.992872
2010-01-04,8.82,9.08,8.16,8.37,240300,4.732768
2009-12-01,8.94,9.28,8.46,8.80,246300,4.975909
2009-11-02,7.90,8.96,7.77,8.94,206400,4.91942
2009-10-01,8.49,8.82,7.87,7.89,228100,4.341636
2009-09-01,9.17,9.28,8.18,8.63,295700,4.748836
2009-08-03,7.87,9.52,7.83,9.17,290800,4.908924
2009-07-01,7.72,8.50,7.03,8.24,173300,4.411072
2009-06-01,7.56,8.34,6.71,7.76,235000,4.154117
2009-05-01,6.76,7.50,6.68,7.50,194000,3.865471
2009-04-01,6.19,7.00,6.17,6.72,197400,3.463462
2009-03-02,5.82,6.60,5.04,6.38,246200,3.288228
2009-02-02,7.52,7.68,5.54,6.00,259300,2.927522
2009-01-02,8.58,9.00,7.63,7.75,208500,3.781383
2008-12-01,7.55,8.72,7.07,8.34,271900,4.069256
2008-11-03,8.66,9.26,6.00,7.61,246100,3.578453
2008-10-01,8.55,9.54,5.12,8.48,414500,3.987553
2008-09-02,10.15,10.25,7.85,8.69,264100,4.086301
2008-08-01,10.00,10.34,9.29,10.01,139400,4.562538
2008-07-01,9.99,10.17,8.40,10.03,202700,4.571654
2008-06-02,11.21,11.30,9.98,10.03,198000,4.571654
2008-05-01,11.42,11.70,11.10,11.22,140200,5.065799
2008-04-01,11.10,11.68,10.62,11.35,141300,5.079002
2008-03-03,11.60,11.60,10.23,10.99,159000,4.873553
2008-02-01,12.31,12.48,11.25,11.48,169100,5.044606
2008-01-02,11.33,12.22,10.71,12.18,275600,5.306824
2007-12-03,11.86,12.05,11.00,11.35,467700,4.945193
2007-11-01,12.62,12.62,10.74,11.51,281900,4.924892
2007-10-01,13.40,13.70,12.52,12.68,166900,5.377845
2007-09-04,13.65,13.85,13.09,13.34,142200,5.615424
2007-08-01,13.40,14.36,10.64,13.66,227800,5.706682
2007-07-02,14.48,14.76,12.45,13.38,184400,5.545984
2007-06-01,14.76,14.95,14.23,14.45,186400,5.947393
2007-05-01,14.99,15.10,14.53,14.73,212400,6.019959
2007-04-02,14.84,15.12,14.82,15.00,160400,6.088311
2007-03-01,14.51,14.91,14.32,14.86,167400,5.990499
2007-02-01,15.05,15.10,14.19,14.55,226300,5.825323
2007-01-03,15.21,15.30,14.71,15.07,223200,5.99243
2006-12-01,14.90,15.60,14.80,15.28,202000,6.075934
2006-11-01,14.98,15.03,14.50,14.84,237600,5.822336
2006-10-02,15.00,15.05,14.65,14.92,243700,5.813758
2006-09-01,14.69,14.95,14.41,14.90,270800,5.766005
2006-08-01,14.01,14.70,13.86,14.64,245000,5.626345
