Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,17.49,17.73,17.450001,17.67,319800,14.21039
2013-03-01,17.16,18.00,16.93,17.530001,200400,14.097801
2013-02-01,17.59,17.83,16.879999,17.16,188100,13.733213
2013-01-02,17.190001,19.049999,17.16,17.48,172500,13.918591
2012-12-03,16.42,17.32,16.18,17.040001,154000,13.568238
2012-11-01,16.85,17.09,15.35,16.42,131500,12.939561
2012-10-01,16.690001,17.200001,15.95,16.77,158100,13.144382
2012-09-04,16.50,17.190001,16.23,16.719999,128300,13.034545
2012-08-01,15.81,16.75,15.80,16.530001,113500,12.818725
2012-07-02,15.46,16.07,15.37,15.86,93400,12.234968
2012-06-01,15.70,15.81,14.72,15.45,166200,11.854816
2012-05-01,16.200001,16.50,15.53,15.79,142600,12.04839
2012-04-02,16.34,16.540001,16.120001,16.25,148700,12.332129
2012-03-01,15.22,17.059999,15.21,16.24,260500,12.259953
2012-02-01,15.40,15.65,15.15,15.22,287200,11.429942
2012-01-03,14.28,15.47,14.26,15.37,204400,11.481019
2011-12-01,14.11,14.64,13.74,14.23,170300,10.629466
2011-11-01,14.61,15.00,13.86,14.53,126400,10.699037
2011-10-03,13.99,14.83,13.37,14.70,117700,10.762189
2011-09-01,14.19,14.59,13.51,14.09,127000,10.257529
2011-08-01,15.70,15.78,13.52,14.18,173500,10.264521
2011-07-01,16.280001,16.75,15.13,15.41,148900,11.090312
2011-06-01,16.299999,16.60,15.65,16.23,115000,11.622013
2011-05-02,16.200001,16.90,16.15,16.389999,112700,11.678195
2011-04-01,16.450001,17.16,16.17,16.209999,136500,11.494452
2011-03-01,17.299999,17.99,16.290001,16.49,148600,11.634954
2011-02-01,17.049999,17.540001,16.85,17.290001,142200,12.136303
2011-01-03,16.09,17.299999,15.98,17.059999,162400,11.915192
2010-12-01,16.190001,16.43,15.81,16.00,96600,11.174858
2010-11-01,15.83,16.48,15.16,16.190001,124800,11.18775
2010-10-01,15.73,16.040001,15.25,15.88,117700,10.91478
2010-09-01,15.40,15.73,14.95,15.73,127400,10.75211
2010-08-02,15.73,15.73,14.82,15.31,93600,10.405671
2010-07-01,14.54,15.63,14.31,15.63,88300,10.563059
2010-06-01,14.22,15.06,14.19,14.48,110700,9.731284
2010-05-03,16.02,16.18,12.50,14.35,219400,9.590951
2010-04-01,15.77,16.299999,15.34,16.049999,144000,10.667604
2010-03-01,15.45,16.52,15.36,15.77,239800,10.426647
2010-02-01,15.25,15.50,14.76,15.45,236400,10.162322
2010-01-04,14.22,15.50,14.07,15.13,203400,9.895385
2009-12-01,13.12,14.35,13.12,14.16,152800,9.260982
2009-11-02,12.60,13.17,12.47,13.11,123000,8.463078
2009-10-01,12.79,13.23,12.20,12.51,145400,8.030404
2009-09-01,11.84,12.83,11.63,12.75,125800,8.139515
2009-08-03,12.17,12.24,11.33,11.79,161000,7.484271
2009-07-01,10.60,12.02,10.37,12.02,161200,7.584229
2009-06-01,10.36,10.90,10.16,10.58,160900,6.632868
2009-05-01,9.42,10.39,9.36,10.33,118700,6.434813
2009-04-01,8.11,9.37,8.11,9.35,129600,5.784729
2009-03-02,8.25,8.74,6.95,8.26,164400,5.074458
2009-02-02,8.81,9.88,7.86,8.33,168800,5.078721
2009-01-02,8.00,9.20,8.00,8.97,172700,5.429637
2008-12-01,7.71,8.46,6.59,8.02,226800,4.815487
2008-11-03,9.68,10.49,6.77,7.94,198300,4.712514
2008-10-01,11.07,11.57,7.95,9.62,244600,5.645437
2008-09-02,13.66,13.89,10.81,11.23,251400,6.525401
2008-08-01,13.68,14.02,13.37,13.65,92300,7.866386
2008-07-01,14.38,14.60,13.31,13.75,125800,7.868155
2008-06-02,15.11,15.31,14.49,14.51,85900,8.245481
2008-05-01,15.25,15.55,14.90,15.13,87500,8.543323
2008-04-01,14.16,15.61,14.16,15.29,129800,8.580304
2008-03-03,14.50,14.88,13.33,14.14,184200,7.884803
2008-02-01,15.29,15.31,13.23,14.63,285000,8.092051
2008-01-02,15.61,16.58,14.89,15.29,176200,8.385363
2007-12-03,15.71,16.34,15.51,15.61,232100,8.496409
2007-11-01,16.10,16.200001,14.95,15.62,191500,8.435499
