Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,9.880004,9.949995,9.859992,9.949995,28600,7.431069
2013-03-01,9.219996,9.980002,9.179994,9.949995,31500,7.431069
2013-02-01,9.109992,9.470004,9.009994,9.31,30900,6.880364
2013-01-02,8.739995,9.319995,8.480003,9.19,30800,6.791681
2012-12-03,9.160002,9.620002,8.299997,8.620006,58100,6.370439
2012-11-01,9.349993,9.429999,8.530003,9.119998,27800,6.661211
2012-10-01,9.19,9.439996,9.090001,9.279991,40400,6.778069
2012-09-04,8.839993,9.279991,8.790005,9.099997,37200,6.646602
2012-08-01,8.489999,8.909994,8.350007,8.769993,27000,6.335486
2012-07-02,8.339991,8.659999,8.310003,8.429994,19300,6.089869
2012-06-01,8.029999,8.469997,7.81,8.399996,26900,6.068199
2012-05-01,8.499994,8.639997,7.909999,8.050001,34900,5.74339
2012-04-02,8.350007,8.550005,8.159995,8.499994,34300,6.064444
2012-03-01,7.829991,8.329994,7.739999,8.32,26400,5.936024
2012-02-01,7.499998,7.889997,7.499998,7.800005,20500,5.565026
2012-01-03,7.200002,7.579995,7.159999,7.440003,19500,5.308178
2011-12-01,6.949996,7.170005,6.82,7.130002,30000,5.087003
2011-11-01,7.000006,7.100004,6.539995,6.919998,32600,4.937172
2011-10-03,6.550001,7.23,6.13999,7.149992,18500,5.101265
2011-09-01,7.080002,7.130002,6.469994,6.679997,25000,4.765941
2011-08-01,7.52,7.57,6.500002,7.080002,46300,5.05133
2011-07-01,7.729993,7.899992,7.329998,7.510005,17500,5.358121
2011-06-01,7.649996,7.729993,7.370002,7.729993,27500,5.515075
2011-05-02,7.40,7.700006,7.340005,7.700006,36100,5.493681
2011-04-01,7.659992,7.780003,7.23,7.379998,98400,5.265366
2011-03-01,7.81,8.280006,7.139997,7.69,99100,5.486541
2011-02-01,7.049994,7.999991,7.019997,7.909999,46300,5.643503
2011-01-03,7.11,7.189996,6.989999,7.039999,22600,5.022789
2010-12-01,6.660006,7.100004,6.629998,7.100004,30000,5.0656
2010-11-01,6.620003,6.799998,6.260001,6.559997,20600,4.680325
2010-10-01,6.400003,6.590005,6.250005,6.539995,24900,4.666054
2010-09-01,5.999999,6.459999,5.969991,6.400003,17200,4.566175
2010-08-02,6.320007,6.380002,5.889994,5.969991,22500,4.259376
2010-07-01,6.160003,6.550001,6.049998,6.299994,16300,4.494822
2010-06-01,6.289999,6.500002,6.150007,6.160003,25400,4.394943
2010-05-03,6.82,6.989999,6.02,6.369995,22800,4.544765
2010-04-01,6.949996,7.149992,6.869998,6.879994,17600,4.908631
2010-03-01,6.720001,7.080002,6.550001,7.000006,18600,4.994256
2010-02-01,6.520004,6.799998,6.299994,6.670002,17000,4.758809
2010-01-04,6.720001,7.030003,6.409999,6.570003,40600,4.687464
2009-12-01,5.999999,6.869998,5.859996,6.699999,30300,4.780211
2009-11-02,5.799991,6.099998,5.759997,5.910006,10400,4.216579
2009-10-01,5.980008,6.169998,5.61,5.840005,16700,4.166636
2009-09-01,5.549994,6.080006,5.459991,5.949999,14000,4.245113
2009-08-03,5.619996,5.810008,5.400007,5.650003,13200,4.031077
2009-07-01,5.079999,5.680001,4.930001,5.570007,17300,3.974002
2009-06-01,4.960009,5.20,4.909999,5.100001,16100,3.638669
2009-05-01,4.849994,5.050002,4.649997,5.009998,16600,3.574455
2009-04-01,4.52,5.340002,4.429998,4.839998,14800,3.453167
2009-03-02,4.499999,4.660003,3.82,4.540002,22500,3.23913
2009-02-02,4.970005,5.340002,4.499999,4.499999,20900,3.210589
2009-01-02,4.930001,5.249999,4.649997,4.930001,20900,3.517381
2008-12-01,4.23,5.170002,4.019997,5.009998,23200,3.574455
2008-11-03,5.310004,5.650003,3.799999,4.370003,15800,3.083277
2008-10-01,5.689997,5.90,4.060001,5.310004,33400,3.746499
2008-09-02,6.36,6.48,5.500006,5.600004,15400,3.95111
2008-08-01,6.219997,6.48,6.180005,6.339998,14500,4.473216
2008-07-01,6.210002,6.289999,5.829999,6.210002,19900,4.381496
2008-06-02,6.579998,6.799998,6.129995,6.210002,15500,4.381496
2008-05-01,6.570003,6.740003,6.500002,6.579998,13800,4.64255
2008-04-01,6.849997,6.879994,6.439997,6.550001,12700,4.621385
2008-03-03,6.979993,7.049994,6.119999,6.660006,15200,4.698999
2008-02-01,6.879994,7.23,6.620003,6.979993,18900,4.924767
2008-01-02,7.019997,7.479996,6.400003,6.879994,19800,4.854213
2007-12-03,6.960002,7.300001,6.65,7.090008,20900,5.002389
2007-11-01,7.649996,7.649996,6.299994,7.11,22700,4.978946
2007-10-01,8.010008,8.159995,7.700006,7.700006,18800,5.392112
2007-09-04,8.599993,8.979997,8.010008,8.029999,18700,5.623197
2007-08-01,9.609995,10.059999,8.020003,8.700003,18300,6.092383
2007-07-02,7.899992,11.500005,7.749995,9.609995,54300,6.729627
2007-06-19,7.999991,8.90,7.700006,7.950002,19900,5.567178
