Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,45.509998,45.689999,45.299999,45.59,11587200,10.847626
2013-03-01,39.59,45.68,38.830002,45.560001,4776100,10.840487
2013-02-01,37.73,40.740002,37.25,39.639999,4971700,9.43189
2013-01-02,36.439999,38.799999,35.110001,37.48,3974000,8.917942
2012-12-03,36.240002,36.59,34.740002,35.82,3342700,8.522964
2012-11-01,33.50,37.040001,32.540001,36.099998,3604300,8.589587
2012-10-01,31.98,33.959999,31.17,33.470001,2709900,7.963809
2012-09-04,32.459999,34.00,31.469999,31.879999,2595100,7.585485
2012-08-01,30.50,33.02,30.50,32.43,3666600,7.716352
2012-07-02,28.01,30.82,27.74,30.02,3677600,7.14292
2012-06-01,27.18,29.35,26.379999,27.73,3310100,6.59804
2012-05-01,28.209999,29.01,24.639999,27.860001,4466300,6.628973
2012-04-02,29.50,30.50,26.530001,28.219999,5912200,6.71463
2012-03-01,28.889999,29.91,27.34,29.540001,3639400,7.028709
2012-02-01,24.870001,29.17,24.27,28.73,6029700,6.835979
2012-01-03,22.57,25.10,21.959999,24.60,4474100,5.853292
2011-12-01,23.40,23.940001,21.74,21.860001,5873600,5.20134
2011-11-01,25.32,27.83,22.93,24.629999,6031400,5.86043
2011-10-03,24.73,28.26,22.77,26.370001,4906300,6.274444
2011-09-01,28.559999,29.00,24.23,25.01,3490000,5.950847
2011-08-01,31.049999,31.09,23.639999,28.559999,5943900,6.795529
2011-07-01,28.879999,33.360001,28.68,30.51,6656000,7.25951
2011-06-01,30.24,30.549999,26.59,28.549999,3165900,6.79315
2011-05-02,32.509998,32.880001,29.360001,30.309999,3429300,7.211922
2011-04-01,27.41,33.099998,26.940001,32.509998,4767700,7.735387
2011-03-01,25.969999,27.690001,24.48,27.040001,4616600,6.433863
2011-02-01,23.15,26.48,22.690001,25.91,7823200,6.164992
2011-01-03,25.620001,25.889999,22.24,23.02,7513600,5.477349
2010-12-01,27.34,27.83,24.549999,25.40,3440100,6.043643
2010-11-01,24.870001,28.00,23.940001,27.15,3444600,6.460036
2010-10-01,26.110001,28.42,24.73,24.799999,3651900,5.90088
2010-09-01,24.41,26.200001,23.280001,25.860001,3525600,6.153095
2010-08-02,25.59,27.879999,23.719999,23.940001,3116900,5.696253
2010-07-01,23.98,26.15,23.440001,25.049999,3631200,5.960364
2010-06-01,27.030001,29.309999,23.629999,24.059999,3821700,5.724805
2010-05-03,28.530001,29.41,25.030001,27.280001,3441600,6.490968
2010-04-01,27.969999,31.450001,27.85,28.469999,3307700,6.774115
2010-03-01,26.030001,28.40,25.85,27.82,2229500,6.619454
2010-02-01,23.040001,26.219999,20.950001,25.93,3381200,6.169751
2010-01-04,24.280001,25.459999,22.35,22.969999,3761700,5.465452
2009-12-01,23.290001,26.219999,23.25,24.110001,3753000,5.736702
2009-11-02,21.59,26.610001,21.02,24.01,4679500,5.712908
2009-10-01,21.219999,24.450001,19.90,21.620001,4223300,5.144235
2009-09-01,20.98,22.959999,19.00,21.40,2655500,5.091888
2009-08-03,20.25,22.24,19.48,21.059999,3206600,5.010989
2009-07-01,15.31,20.049999,13.07,19.90,4774200,4.73498
2009-06-01,17.299999,19.07,14.36,15.01,4443400,3.57146
2009-05-01,16.379999,17.83,13.72,16.90,7130500,4.021164
2009-04-01,9.38,16.780001,9.35,16.459999,7266500,3.916471
2009-03-02,6.82,10.88,5.86,9.57,7387500,2.277073
2009-02-02,8.79,9.03,5.14,7.00,7994400,1.665571
2009-01-02,12.96,13.66,8.08,8.99,7127400,2.139069
2008-12-01,12.50,15.53,9.85,12.75,6110100,3.033718
2008-11-03,17.40,17.549999,8.54,12.92,4579100,3.074168
2008-10-01,21.50,21.969999,11.52,17.469999,6701600,4.156789
2008-09-02,23.85,27.799999,20.790001,21.75,6156800,5.175167
2008-08-01,21.389999,26.40,21.379999,23.84,8283000,5.672459
2008-07-01,26.92,28.68,21.389999,21.440001,10521800,5.101406
2008-06-02,33.099998,33.91,27.040001,27.139999,8185200,6.457656
2008-05-01,35.189999,37.73,32.52,33.00,7021200,7.851977
2008-04-01,29.48,36.130001,29.379999,35.02,6315800,8.332613
2008-03-03,29.049999,30.40,25.190001,29.200001,5030600,6.94781
2008-02-01,25.440001,30.07,23.48,29.10,3986900,6.924016
2008-01-02,27.040001,27.35,21.469999,25.610001,4322400,6.09361
2007-12-03,28.549999,30.25,26.049999,27.17,2307600,6.464795
2007-11-01,30.50,31.58,27.129999,28.23,3065800,6.71701
2007-10-01,28.190001,31.10,25.200001,31.040001,3004000,7.385618
2007-09-04,30.030001,31.209999,25.799999,28.059999,2168100,6.67656
2007-08-01,30.799999,32.23,25.33,29.959999,3122100,7.128644
2007-07-02,27.10,33.73,24.00,31.01,3738500,7.378479
2007-06-01,26.219999,27.959999,26.190001,27.030001,2279700,6.431483
2007-05-01,26.559999,27.110001,25.25,26.10,2712400,6.2102
2007-04-02,29.450001,29.65,25.65,26.59,2154400,6.32679
2007-03-01,28.35,29.65,26.790001,29.389999,2391700,6.993018
2007-02-01,25.200001,28.75,24.549999,28.610001,2169500,6.807426
2007-01-03,23.700001,26.059999,23.690001,25.58,1580000,6.086472
2006-12-01,24.42,24.77,22.07,23.620001,1843000,5.620112
2006-11-01,23.370001,24.65,21.700001,24.389999,2710300,5.803325
2006-10-02,22.379999,24.60,22.25,23.60,2990400,5.615354
2006-09-06,19.799999,23.200001,19.549999,22.51,8691100,5.356
