Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.88,6.89,6.76,6.79,19985600,5.174675
2013-03-01,7.38,7.81,6.58,6.81,6592500,5.189917
2013-02-01,8.14,8.27,7.31,7.58,6322600,5.776736
2013-01-02,8.27,8.86,8.14,8.18,4023000,6.233997
2012-12-03,7.69,8.20,7.34,8.17,3314700,6.078594
2012-11-01,7.53,7.73,6.85,7.66,2845600,5.699146
2012-10-01,7.54,8.03,7.18,7.46,3195000,5.550344
2012-09-04,7.16,8.29,7.08,7.46,5429800,5.405261
2012-08-01,6.04,7.09,5.57,7.04,5444100,5.100943
2012-07-02,6.57,6.70,4.88,5.96,7219700,4.318412
2012-06-01,5.31,6.60,5.25,6.56,7582300,4.484122
2012-05-01,6.34,6.45,5.19,5.32,11683400,3.636514
2012-04-02,7.47,7.78,6.08,6.33,13732500,4.326905
2012-03-01,8.41,8.62,7.50,7.67,6855400,5.023417
2012-02-01,8.13,8.85,8.07,8.30,4584300,5.436032
2012-01-03,7.70,8.22,6.83,7.88,6153400,5.160955
2011-12-01,7.47,8.01,7.06,7.52,4807800,4.816254
2011-11-01,7.96,8.30,6.77,7.48,7010000,4.790635
2011-10-03,7.95,9.33,7.54,8.56,6801200,5.482331
2011-09-01,8.96,9.20,7.15,8.04,8738600,5.045102
2011-08-01,10.29,10.31,8.00,9.28,12205400,5.823202
2011-07-01,11.63,11.89,9.98,10.21,10799000,6.406777
2011-06-01,11.67,11.88,10.55,11.51,8905100,7.093436
2011-05-02,12.48,12.49,10.85,11.89,6439300,7.327624
2011-04-01,11.80,12.57,11.30,12.40,5615300,7.641929
2011-03-01,12.24,12.28,10.92,11.71,8107800,7.030208
2011-02-01,12.47,12.72,11.70,12.30,8633800,7.38442
2011-01-03,10.69,12.49,9.62,12.24,17227300,7.348398
2010-12-01,10.26,11.28,10.15,10.65,9181300,6.290406
2010-11-01,12.54,12.62,9.43,9.62,13083300,5.682038
2010-10-01,12.64,13.52,12.37,12.81,6407700,7.566207
2010-09-01,12.08,13.10,12.04,12.66,5786500,7.382555
2010-08-02,13.37,13.75,11.20,11.69,7125400,6.816909
2010-07-01,10.99,13.59,10.63,12.77,11261800,7.446702
2010-06-01,9.90,11.79,8.65,10.50,13919700,6.049028
2010-05-03,12.19,12.32,9.17,10.15,22628900,5.847394
2010-04-01,13.54,14.80,11.75,12.34,6870300,7.109048
2010-03-01,12.93,14.41,12.86,13.27,4800800,7.459584
2010-02-01,14.46,14.99,12.36,13.04,7241500,7.330292
2010-01-04,16.780001,17.549999,13.87,14.08,3688200,7.914917
2009-12-01,17.51,17.889999,15.91,16.440001,2332500,9.132045
2009-11-02,16.110001,17.85,15.58,17.299999,2762000,9.609755
2009-10-01,16.01,17.59,15.11,16.059999,4898700,8.920962
2009-09-01,15.11,16.799999,14.28,16.15,2647200,8.873987
2009-08-03,14.34,15.78,13.82,15.43,2946000,8.478368
2009-07-01,12.34,14.50,11.11,14.46,3917400,7.945379
2009-06-01,10.91,12.22,10.47,12.10,3251900,6.561091
2009-05-01,8.97,10.79,8.97,10.74,3034600,5.823646
2009-04-01,6.83,9.38,6.81,9.15,2910900,4.961486
2009-03-02,5.72,7.63,4.87,6.90,3413600,3.59639
2009-02-02,7.42,7.97,5.83,6.02,7116600,3.13772
2009-01-02,9.56,9.93,6.59,7.84,7503700,4.086333
2008-12-01,7.98,10.09,7.40,9.49,3082200,4.836494
2008-11-03,10.20,11.50,6.01,8.37,4297800,4.160764
2008-10-01,15.11,16.950001,8.25,10.74,3278200,5.338902
2008-09-02,17.24,17.26,13.83,15.02,1940400,7.317018
2008-08-01,18.85,19.25,16.40,16.98,1125800,8.271834
2008-07-01,18.07,19.35,17.059999,19.16,2177400,9.333825
2008-06-02,20.48,20.49,18.129999,18.190001,1746800,8.760343
2008-05-01,21.139999,22.27,20.41,20.90,1750500,10.065484
2008-04-01,20.25,21.809999,20.15,21.09,1490100,10.156989
2008-03-03,17.799999,20.309999,17.120001,19.940001,1970700,9.419524
2008-02-01,17.68,18.73,16.440001,17.780001,1977500,8.399155
2008-01-02,21.370001,21.59,16.09,17.52,1952200,8.276332
2007-12-03,21.59,22.34,20.440001,21.540001,1346400,10.072636
2007-11-01,21.02,22.34,20.639999,21.42,1053000,10.016521
2007-10-01,19.15,21.75,19.15,21.709999,1076800,10.152131
2007-09-04,18.190001,19.50,17.290001,19.309999,816000,8.954835
2007-08-01,18.76,19.540001,17.059999,18.27,925100,8.472545
2007-07-02,18.549999,19.870001,18.219999,18.60,669900,8.625579
2007-06-01,19.530001,19.559999,18.110001,18.379999,647800,8.447411
2007-05-01,17.790001,19.23,17.530001,19.200001,762400,8.824282
2007-04-02,17.889999,18.91,17.620001,17.690001,775000,8.130289
2007-03-01,17.860001,18.299999,16.93,17.83,869100,8.078261
2007-02-01,18.84,19.379999,18.049999,18.540001,609600,8.399942
2007-01-03,19.200001,19.24,18.219999,18.870001,680300,8.549457
2006-12-01,18.379999,18.92,17.82,18.66,464600,8.390995
2006-11-01,17.290001,18.690001,16.870001,18.280001,564000,8.220118
2006-10-02,15.80,17.34,15.72,17.120001,427500,7.698491
2006-09-01,15.55,15.96,15.08,15.79,600400,7.045004
2006-08-01,14.85,15.68,14.72,15.57,380300,6.946847
2006-07-03,14.60,15.09,13.69,15.05,266400,6.71484
2006-06-01,14.33,14.69,13.09,14.62,382400,6.463285
2006-05-01,15.48,15.70,14.05,14.45,516600,6.388131
2006-04-03,14.62,15.38,14.06,15.34,409100,6.781587
2006-03-01,14.77,14.80,14.02,14.61,338700,6.388388
2006-02-01,14.26,14.72,13.88,14.62,393000,6.392761
2006-01-03,13.38,14.36,13.28,14.27,351500,6.239719
2005-12-01,12.77,13.30,12.52,13.19,239800,5.722354
2005-11-01,12.61,12.94,12.25,12.69,277000,5.505435
2005-10-03,13.07,13.17,12.41,12.69,357600,5.505435
2005-09-01,12.42,13.28,12.42,13.17,282100,5.663383
2005-08-01,12.41,12.72,12.00,12.33,306800,5.302165
2005-07-01,11.66,12.40,11.26,12.31,176100,5.293565
2005-06-01,11.38,11.74,11.28,11.58,197100,4.933412
2005-05-02,11.70,12.11,11.42,11.47,348600,4.886549
2005-04-01,12.19,12.33,11.50,11.60,264900,4.941933
2005-03-01,12.46,12.92,12.13,12.16,307800,5.131735
2005-02-01,11.80,12.74,11.79,12.30,362000,5.190818
2005-01-03,12.38,12.47,11.63,11.83,398200,4.99247
2004-12-01,12.07,12.58,11.76,12.37,280900,5.171982
2004-11-01,10.92,12.14,10.92,11.99,280300,5.013101
2004-10-01,9.81,11.21,9.81,11.18,299800,4.674435
2004-09-01,9.87,10.20,9.49,9.78,202800,4.049586
2004-08-02,9.56,9.91,9.14,9.87,252500,4.086852
2004-07-01,10.51,10.72,9.25,9.46,254600,3.917084
2004-06-01,10.45,11.02,10.32,10.50,219500,4.301855
2004-05-03,10.71,10.93,9.86,10.68,344500,4.375601
2004-04-01,11.00,11.49,10.51,10.62,299000,4.351019
2004-03-01,11.63,11.63,10.18,10.98,343300,4.462976
2004-02-02,11.43,12.13,11.22,11.63,239100,4.727177
2004-01-02,12.06,12.40,11.33,11.49,319100,4.670272
2003-12-01,10.63,12.01,10.62,12.01,335800,4.841634
2003-11-03,9.70,10.50,9.55,10.38,303300,4.184526
2003-10-01,8.61,9.56,8.56,9.53,215200,3.841862
2003-09-02,8.55,9.00,8.40,8.51,251500,3.397644
2003-08-01,8.87,9.02,8.35,8.58,180500,3.425591
2003-07-01,8.77,9.34,8.61,8.90,199800,3.553352
2003-06-02,8.10,9.50,8.05,8.82,206500,3.488315
2003-05-01,7.80,8.23,7.40,8.08,229600,3.195644
2003-04-01,6.54,7.95,6.44,7.86,302900,3.108634
2003-03-03,6.54,7.08,5.50,6.36,245500,2.494011
2003-02-03,6.18,6.56,5.81,6.34,255400,2.486168
2003-01-02,7.02,7.59,6.01,6.28,381900,2.46264
2002-12-02,7.31,7.37,6.38,7.05,259800,2.730622
2002-11-01,5.93,7.30,5.85,7.02,370000,2.719002
2002-10-01,5.16,6.49,4.70,5.93,518900,2.29682
2002-09-03,6.38,6.82,4.88,5.18,500600,1.982421
2002-08-01,6.04,7.16,5.60,6.62,422300,2.533519
2002-07-01,7.93,8.67,6.15,6.22,520100,2.380436
2002-06-03,9.15,9.22,7.17,7.79,509900,2.94835
2002-05-01,9.31,9.54,8.90,9.10,255500,3.444158
2002-04-01,8.34,9.39,8.12,9.30,246400,3.519853
2002-03-01,7.99,8.80,7.98,8.22,224400,3.092273
2002-02-01,7.98,8.11,7.43,7.99,240400,3.005749
2002-01-02,8.52,8.74,7.61,7.91,322500,2.975654
