Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,38.759998,38.860001,38.25,38.720001,70800,31.6422
2013-03-01,35.970001,39.16,35.389999,38.860001,52500,31.756609
2013-02-01,35.00,36.75,34.259998,36.34,60300,29.611778
2013-01-02,34.75,35.16,33.25,34.93,40000,28.462835
2012-12-03,32.98,34.400002,32.110001,34.209999,45300,27.876139
2012-11-01,34.049999,34.349998,29.27,33.240002,44900,27.005098
2012-10-01,33.470001,34.59,32.740002,34.130001,33200,27.728159
2012-09-04,33.220001,35.049999,33.00,33.200001,44400,26.972601
2012-08-01,31.02,34.48,28.99,33.119999,55500,26.829407
2012-07-02,27.98,31.40,27.60,30.950001,69100,25.071564
2012-06-01,25.030001,28.110001,24.83,28.01,104700,22.689966
2012-05-01,29.110001,29.65,24.700001,25.530001,117400,20.602606
2012-04-02,33.509998,33.93,28.809999,29.120001,86800,23.49972
2012-03-01,34.009998,35.259998,33.490002,33.700001,100500,27.195761
2012-02-01,34.919998,36.650002,32.23,33.970001,82100,27.332809
2012-01-03,34.959999,35.200001,32.740002,34.740002,71600,27.952364
2011-12-01,33.740002,36.93,32.799999,34.02,74800,27.373039
2011-11-01,30.66,34.00,30.450001,33.98,83900,27.260178
2011-10-03,26.34,35.00,24.50,32.650002,72900,26.193197
2011-09-01,29.120001,29.51,24.60,26.620001,63400,21.355679
2011-08-01,32.029999,32.029999,27.27,29.17,104000,23.347883
2011-07-01,32.209999,33.32,30.049999,31.48,54900,25.196823
2011-06-01,31.74,32.299999,28.51,32.150002,67000,25.733097
2011-05-02,30.59,31.85,29.02,31.77,58100,25.37447
2011-04-01,31.00,31.65,28.360001,30.50,38000,24.360128
2011-03-01,31.280001,31.92,28.459999,30.719999,53600,24.535841
2011-02-01,28.07,31.25,27.940001,31.24,44400,24.899792
2011-01-03,28.98,29.93,27.25,27.809999,41100,22.165915
2010-12-01,27.41,29.50,26.709999,28.67,47800,22.851377
2010-11-01,26.34,29.23,25.76,26.719999,53000,21.250866
2010-10-01,26.35,27.50,25.059999,26.16,55900,20.805489
2010-09-01,23.58,26.92,23.389999,25.98,79400,20.662333
2010-08-02,23.35,23.559999,21.200001,23.00,118500,18.246502
2010-07-01,21.040001,23.25,19.51,22.690001,142400,18.000572
2010-06-01,24.139999,25.459999,20.84,21.00,160200,16.659851
2010-05-03,25.969999,27.34,20.809999,24.43,103300,19.327826
2010-04-01,24.700001,28.17,24.15,25.84,62700,20.44335
2010-03-01,20.559999,25.209999,20.49,24.48,85500,19.367384
2010-02-01,18.139999,21.209999,16.82,20.32,77400,16.030939
2010-01-04,18.99,19.700001,17.299999,17.940001,66000,14.153301
2009-12-01,17.76,20.049999,17.290001,18.52,73600,14.610877
2009-11-02,20.299999,21.27,17.08,17.629999,95200,13.86195
2009-10-01,19.24,22.99,17.00,20.15,110800,15.843352
2009-09-01,16.879999,20.360001,15.50,19.43,118800,15.277238
2009-08-03,9.89,18.790001,9.69,17.00,190500,13.318536
2009-07-01,8.33,10.44,7.29,9.81,110100,7.685579
2009-06-01,7.43,9.86,7.32,8.26,130500,6.471241
2009-05-01,5.81,8.36,5.49,7.25,141800,5.637865
2009-04-01,4.03,7.29,3.79,5.75,194400,4.47141
2009-03-02,2.95,4.74,1.81,4.15,290900,3.227192
2009-02-02,10.02,10.44,2.57,3.03,225200,2.238896
2009-01-02,15.50,16.34,10.06,10.31,98600,7.618159
2008-12-01,10.98,15.50,9.25,15.45,88900,11.416154
2008-11-03,17.799999,18.43,6.53,11.37,110000,8.304164
2008-10-01,27.40,27.469999,13.48,17.459999,77200,12.75204
2008-09-02,24.00,34.860001,21.23,27.889999,81800,20.369667
2008-08-01,20.860001,23.18,18.389999,22.950001,73400,16.677525
2008-07-01,19.950001,22.459999,18.700001,20.85,133100,15.151477
2008-06-02,26.75,26.940001,17.17,19.879999,159700,14.446587
2008-05-01,27.65,29.690001,21.50,26.85,169500,19.416155
2008-04-01,28.700001,30.049999,27.23,27.690001,56900,20.023588
2008-03-03,29.60,29.700001,26.07,28.49,108200,20.602095
2008-02-01,33.200001,34.130001,29.41,29.41,82500,21.174784
2008-01-02,34.630001,35.209999,29.40,32.91,112200,23.694735
2007-12-03,36.950001,37.93,33.98,34.529999,70100,24.861111
2007-11-01,40.09,40.459999,35.32,37.07,86100,26.600136
2007-10-01,39.560001,42.50,37.049999,40.48,67700,29.047033
2007-09-04,39.119999,40.50,36.07,39.490002,96400,28.336645
2007-08-01,34.950001,39.77,30.33,39.130001,119900,27.988876
2007-07-02,39.950001,39.950001,33.459999,35.189999,83800,25.170675
2007-06-01,38.580002,40.349998,38.02,39.32,78700,28.124779
2007-05-01,38.900002,40.299999,36.889999,38.48,71900,27.437929
2007-04-02,39.130001,40.610001,37.619999,38.740002,71200,27.623323
2007-03-01,38.68,39.77,36.580002,39.130001,54100,27.901409
2007-02-01,38.860001,41.509998,38.470001,38.939999,53200,27.680035
2007-01-03,38.880001,39.860001,36.950001,38.810001,35700,27.587627
2006-12-01,39.299999,40.66,38.669998,39.080002,35800,27.779554
2006-11-01,35.450001,39.400002,34.369999,39.400002,44500,27.926298
2006-10-02,33.32,36.41,32.759998,35.349998,36200,25.0557
2006-09-01,33.220001,35.360001,32.110001,33.470001,44800,23.723179
2006-08-01,31.57,33.990002,30.52,33.16,53200,23.424583
2006-07-03,32.34,33.43,30.48,31.67,38000,22.37203
2006-06-01,35.549999,36.48,31.00,32.400002,73500,22.887712
2006-05-01,33.66,35.779999,29.799999,35.779999,55800,25.188818
2006-04-03,34.389999,34.59,32.049999,33.650002,38800,23.689318
2006-03-01,34.18,34.50,32.34,34.450001,33700,24.25251
2006-02-01,33.349998,34.549999,32.799999,34.220001,39700,24.007771
2006-01-03,32.599998,33.549999,31.57,33.349998,29800,23.397402
2005-12-01,31.35,32.950001,30.92,32.810001,29700,23.018555
2005-11-01,31.00,32.00,30.860001,31.35,21900,21.92305
2005-10-03,30.049999,31.60,28.879999,31.18,30400,21.804169
2005-09-01,29.85,30.790001,28.030001,29.950001,24300,20.944031
2005-08-01,29.940001,30.02,28.700001,29.969999,20400,20.886147
2005-07-01,27.610001,30.00,27.50,29.90,22300,20.837364
2005-06-01,26.60,28.299999,26.24,27.610001,23300,19.241459
2005-05-02,26.299999,27.700001,25.15,26.75,20500,18.569681
2005-04-01,28.00,28.50,25.799999,26.200001,22900,18.187874
2005-03-01,27.40,28.42,26.799999,28.00,25400,19.437422
2005-02-01,27.73,28.639999,26.049999,27.35,27600,18.912279
2005-01-03,28.75,28.799999,25.85,27.809999,21300,19.230364
2004-12-01,28.299999,29.719999,27.700001,28.549999,23700,19.742067
2004-11-01,25.90,28.549999,25.90,28.42,24100,19.582975
2004-10-01,26.23,27.60,24.200001,25.91,18100,17.853445
2004-09-01,25.65,27.25,25.459999,26.190001,16900,18.046381
2004-08-02,26.50,26.58,24.200001,25.85,15400,17.744349
2004-07-01,28.26,28.26,26.200001,26.58,14900,18.245447
2004-06-01,28.299999,28.51,26.549999,28.26,20600,19.398659
2004-05-03,26.629999,28.50,24.43,28.370001,25600,19.405376
2004-04-01,28.00,28.41,26.049999,26.629999,23700,18.215199
2004-03-01,28.50,29.35,27.049999,28.10,26200,19.220694
2004-02-02,27.35,28.799999,26.67,28.610001,35600,19.499096
2004-01-02,25.90,28.02,24.35,27.73,45900,18.899332
2003-12-01,26.18,26.68,25.120001,25.799999,18400,17.583944
2003-11-03,26.10,26.59,23.00,26.15,29500,17.754745
2003-10-01,24.74,26.700001,24.700001,26.10,19600,17.720798
2003-09-02,24.360001,26.10,23.65,24.639999,22100,16.729519
2003-08-01,22.85,24.93,20.940001,24.26,20800,16.404964
2003-07-01,20.200001,23.299999,20.15,22.91,21300,15.492074
2003-06-02,20.40,20.90,19.700001,20.15,18200,13.625722
2003-05-01,20.110001,20.50,19.57,20.40,15300,13.727154
2003-04-01,19.85,20.450001,19.40,20.08,9800,13.511827
2003-03-03,19.67,20.209999,19.35,19.75,13200,13.289769
2003-02-03,19.50,20.139999,18.43,19.60,11900,13.121545
2003-01-02,19.57,20.120001,18.57,19.59,12100,13.11485
2002-12-02,16.870001,20.040001,15.20,19.469999,25000,13.034513
2002-11-01,20.50,20.50,15.89,16.77,20900,11.164927
2002-10-01,18.450001,20.90,18.25,20.50,7100,13.648241
2002-09-03,19.360001,19.469999,16.00,18.450001,9800,12.283418
2002-08-01,20.889999,21.110001,19.200001,19.299999,12200,12.780972
2002-07-01,22.00,22.299999,19.85,20.790001,14600,13.767691
2002-06-03,19.530001,22.15,19.530001,22.15,22600,14.668318
2002-05-01,20.00,21.00,19.059999,19.780001,16700,13.033641
2002-04-01,18.85,20.41,18.50,20.10,13200,13.244498
2002-03-01,17.959999,19.00,17.809999,18.75,41600,12.354942
2002-02-01,18.15,18.40,17.60,17.950001,7900,11.762088
2002-01-02,16.68,18.25,15.95,18.17,13500,11.906247
2001-12-03,17.15,18.389999,16.50,16.68,27600,10.929895
2001-11-01,17.18,18.23,17.00,17.15,5600,11.17544
2001-10-01,16.82,18.00,16.35,17.15,4800,11.17544
2001-09-04,18.940001,18.940001,15.40,16.719999,12100,10.895239
2001-08-01,18.68,19.50,17.60,18.90,5200,12.315791
2001-07-02,17.75,18.99,17.549999,18.60,8000,12.120302
2001-06-01,15.98,18.450001,15.90,18.00,17900,11.729324
2001-05-01,16.75,16.950001,15.20,15.95,15300,10.335582
2001-04-02,15.65,17.200001,15.50,16.75,6800,10.853981
2001-03-01,14.90,16.209999,14.76,15.60,9100,10.108783
2001-02-01,17.299999,17.35,14.90,14.95,10100,9.621949
2001-01-02,17.50,17.620001,15.00,17.25,10300,11.102249
2000-12-01,14.50,17.875,12.50,17.375,13500,11.1827
2000-11-01,16.00,16.375,14.375,14.5625,4800,9.307664
2000-10-02,16.3125,16.625,15.625,16.00,6200,10.226446
2000-09-01,14.75,17.00,14.75,16.25,15800,10.386234
2000-08-01,13.50,14.8125,12.125,14.75,37500,9.371754
2000-07-03,15.75,16.3125,13.25,13.50,7000,8.577538
2000-06-01,14.875,15.75,12.625,15.75,11600,10.007127
2000-05-01,15.625,16.875,14.625,14.625,8700,9.235392
2000-04-03,15.00,15.50,13.50,15.50,12300,9.787936
2000-03-01,16.125,16.75,14.3125,15.00,25600,9.472197
2000-02-01,13.125,16.75,12.75,16.125,32500,10.12048
2000-01-03,19.75,19.75,12.375,13.00,19900,8.159146
