Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,10.94,10.98,10.79,10.84,142800,7.434532
2013-03-01,10.67,11.15,10.64,11.15,89700,7.455107
2013-02-01,11.03,11.13,10.57,10.76,97700,7.194345
2013-01-02,10.45,11.06,10.44,10.96,91800,7.328069
2012-12-03,10.70,10.91,10.17,10.34,101200,6.913525
2012-11-01,11.28,11.38,9.73,10.70,88300,6.966488
2012-10-01,11.94,12.02,11.09,11.23,74300,7.311557
2012-09-04,11.04,12.15,10.98,12.15,107700,7.728245
2012-08-01,10.86,11.08,10.75,11.07,75000,7.04129
2012-07-02,10.81,11.02,10.69,10.86,75300,6.907715
2012-06-01,11.03,11.27,10.71,11.12,85800,6.86319
2012-05-01,11.57,11.77,10.93,11.15,79600,6.881705
2012-04-02,12.01,12.09,11.40,11.62,70100,7.171787
2012-03-01,12.54,12.66,12.15,12.27,79100,7.369289
2012-02-01,12.04,12.68,11.91,12.50,88300,7.507425
2012-01-03,11.46,12.15,11.44,11.99,94500,7.201122
2011-12-01,12.15,12.30,11.25,11.40,101000,6.846772
2011-11-01,12.00,12.64,11.69,12.24,79200,7.14375
2011-10-03,11.96,12.71,11.21,12.23,76100,7.137913
2011-09-01,13.62,13.65,12.26,12.47,71500,7.066126
2011-08-01,14.64,14.64,11.66,13.56,108600,7.683774
2011-07-01,15.17,15.19,14.26,14.44,91700,8.182426
2011-06-01,15.50,15.54,14.45,15.45,63600,8.549048
2011-05-02,15.98,15.98,14.85,15.51,63800,8.58225
2011-04-01,15.99,16.200001,15.51,15.96,62400,8.83125
2011-03-01,16.33,16.60,15.40,16.26,63900,8.796391
2011-02-01,15.94,16.299999,15.70,16.24,72900,8.785571
2011-01-03,15.37,16.00,14.99,15.99,74500,8.650325
2010-12-01,15.63,15.84,15.04,15.33,69900,8.293276
2010-11-01,15.54,15.78,14.78,15.49,87300,8.186942
2010-10-01,15.29,15.66,14.96,15.40,100100,8.139375
2010-09-01,14.47,15.75,14.45,15.47,87900,7.984516
2010-08-02,15.46,15.78,14.08,14.30,78800,7.380645
2010-07-01,15.03,15.44,14.41,15.39,76300,7.943226
2010-06-01,15.57,16.450001,15.25,15.45,70000,7.786838
2010-05-03,16.719999,17.00,14.64,15.92,101800,8.023719
2010-04-01,17.049999,17.200001,16.34,16.790001,81800,8.462202
2010-03-01,16.700001,17.65,16.700001,17.27,66300,8.511594
2010-02-01,15.23,16.870001,14.22,16.67,107100,8.215881
2010-01-04,17.200001,17.90,15.30,15.36,107900,7.570242
2009-12-01,17.049999,18.09,16.77,17.08,67900,8.417952
2009-11-02,16.799999,17.530001,16.459999,16.969999,87000,8.184649
2009-10-01,17.50,17.889999,16.25,16.860001,91400,8.131596
2009-09-01,16.889999,18.129999,16.360001,17.77,98100,8.365512
2009-08-03,15.65,17.50,15.50,16.77,108300,7.894746
2009-07-01,15.95,16.959999,14.53,16.41,101200,7.72527
2009-06-01,15.85,16.99,15.51,15.90,119400,7.485179
2009-05-01,14.64,16.360001,14.64,16.08,164900,7.373025
2009-04-01,13.36,14.97,13.19,14.72,178200,6.749436
2009-03-02,12.35,14.05,11.79,13.72,102400,6.096043
2009-02-02,13.45,14.28,12.22,12.66,108100,5.625066
2009-01-02,13.23,14.14,12.75,13.41,83000,5.958304
2008-12-01,11.87,13.34,11.34,13.23,112200,5.878327
2008-11-03,13.08,13.75,10.85,12.58,107600,5.405797
2008-10-01,12.87,13.40,9.55,13.14,149000,5.646437
2008-09-02,15.07,15.07,12.14,13.40,92200,5.575533
2008-08-01,15.51,15.67,14.80,15.35,59600,6.386899
2008-07-01,16.90,16.90,15.01,15.40,78700,6.407702
2008-06-02,16.950001,17.50,16.780001,17.15,70000,6.959015
2008-05-01,16.030001,17.48,15.91,16.99,81000,6.894091
2008-04-01,16.01,16.85,15.93,16.139999,70700,6.549183
2008-03-03,17.209999,17.389999,15.56,16.49,68700,6.518751
2008-02-01,17.27,17.48,16.52,17.190001,59900,6.795472
2008-01-02,17.129999,17.469999,15.50,17.290001,79600,6.835003
2007-12-03,17.15,17.85,16.559999,16.93,119000,6.692689
2007-11-01,17.57,17.68,16.10,17.15,85500,6.614727
2007-10-01,18.049999,18.40,17.16,17.65,72100,6.807576
2007-09-04,17.91,18.58,17.51,18.49,61500,6.967641
2007-08-01,18.35,18.700001,14.96,17.799999,65900,6.707626
2007-07-02,19.15,19.27,17.889999,18.549999,56900,6.990251
2007-06-01,19.00,19.450001,18.719999,19.209999,62400,7.078807
2007-05-01,18.67,19.02,18.51,19.00,71100,7.001423
2007-04-02,19.00,19.43,18.530001,18.74,65500,6.905614
2007-03-01,18.75,19.48,18.17,19.43,67100,7.003265
2007-02-01,19.129999,19.360001,18.379999,18.76,69500,6.761773
2007-01-03,19.33,19.50,18.26,19.129999,63800,6.895134
2006-12-01,20.00,20.10,19.200001,19.42,57900,6.99966
2006-11-01,20.10,20.200001,20.00,20.01,53300,7.159636
2006-10-25,20.00,20.26,20.00,20.08,111800,7.184681
