Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,19.48,19.58,19.32,19.41,48200,14.805212
2013-03-01,19.190001,19.66,19.00,19.58,51500,14.934881
2013-02-01,19.40,19.75,18.85,19.209999,68300,14.652658
2013-01-02,18.040001,19.370001,18.040001,19.26,92500,14.419882
2012-12-03,18.00,18.24,17.629999,17.889999,106300,13.394168
2012-11-01,19.129999,19.17,16.83,18.110001,74300,13.558883
2012-10-01,19.02,19.450001,18.60,19.02,46900,14.240195
2012-09-04,19.200001,19.540001,18.57,18.91,53400,14.157839
2012-08-01,19.85,19.959999,18.799999,19.10,47100,14.300091
2012-07-02,18.85,19.799999,18.75,19.74,50300,14.507341
2012-06-01,18.07,18.83,17.76,18.74,63700,13.77242
2012-05-01,18.92,19.18,17.48,18.17,61700,13.353516
2012-04-02,18.549999,19.43,17.65,18.83,79800,13.574591
2012-03-01,19.35,19.68,18.16,18.450001,65400,13.300649
2012-02-01,19.450001,19.99,19.10,19.280001,49300,13.898997
2012-01-03,19.950001,20.440001,19.09,19.459999,73200,13.772857
2011-12-01,20.10,20.459999,19.90,20.00,37900,14.155044
2011-11-23,20.00,21.02,19.940001,20.049999,179400,14.190431
