Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,24.41,24.75,24.35,24.540001,69400,15.422482
2013-03-01,25.84,26.540001,24.200001,24.57,53400,15.441335
2013-02-01,25.60,26.50,24.950001,26.110001,58300,16.293249
2013-01-02,25.00,26.280001,24.74,25.49,59900,15.794687
2012-12-03,24.77,25.08,23.959999,24.76,41500,15.234976
2012-11-01,24.52,24.950001,22.42,24.700001,47600,15.08885
2012-10-01,24.41,24.90,23.93,24.360001,59200,14.770827
2012-09-04,24.49,24.969999,23.950001,24.17,41200,14.548818
2012-08-01,24.15,24.459999,23.35,24.459999,44200,14.616515
2012-07-02,23.17,24.459999,23.15,24.10,32900,14.294538
2012-06-01,22.33,23.65,22.200001,23.139999,43800,13.621368
2012-05-01,24.48,24.700001,22.00,22.60,45500,13.200014
2012-04-02,24.60,24.709999,23.65,24.360001,48200,14.123277
2012-03-01,24.90,25.00,23.549999,24.59,64900,14.149566
2012-02-01,24.15,24.98,23.870001,24.799999,70500,14.163331
2012-01-03,21.280001,24.35,21.209999,24.110001,50400,13.66736
2011-12-01,22.50,23.15,20.60,20.879999,81800,11.743357
2011-11-01,23.950001,24.35,22.02,22.379999,42200,12.48718
2011-10-03,22.459999,24.459999,20.540001,23.950001,35400,13.261388
2011-09-01,24.40,24.85,21.40,22.379999,48300,12.295247
2011-08-01,24.110001,24.98,22.139999,24.450001,75800,13.329806
2011-07-01,24.809999,26.00,24.030001,24.58,67000,13.295943
2011-06-01,25.030001,25.07,23.66,24.82,60800,13.326273
2011-05-02,24.93,25.10,24.549999,25.01,62200,13.329951
2011-04-01,23.629999,24.85,23.629999,24.809999,60200,13.127224
2011-03-01,24.629999,24.629999,21.18,23.68,66100,12.437051
2011-02-01,24.40,24.99,23.90,24.559999,51800,12.802414
2011-01-03,25.02,25.25,24.00,24.18,117800,12.511953
2010-12-27,25.01,25.02,25.00,25.00,37400,12.936263
