Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,22.27,22.280001,21.91,22.219999,1321600,17.071066
2013-03-01,22.309999,22.950001,21.58,22.290001,1018000,17.124846
2013-02-01,22.75,23.110001,21.77,22.379999,372300,16.657156
2013-01-02,20.629999,22.780001,20.540001,22.639999,405200,16.850672
2012-12-03,21.92,22.50,19.74,20.190001,486200,15.027167
2012-11-01,22.440001,22.530001,18.049999,21.690001,592300,15.369944
2012-10-01,22.10,22.969999,19.83,22.17,738900,15.71008
2012-09-04,20.48,23.59,20.469999,22.040001,799100,15.617961
2012-08-01,20.059999,20.49,19.57,20.440001,299800,13.959158
2012-07-02,19.25,20.200001,19.120001,20.030001,376400,13.679155
2012-06-01,18.559999,19.68,18.209999,19.280001,476500,13.166955
2012-05-01,18.190001,19.110001,18.129999,18.75,747200,12.311995
2012-04-02,18.34,19.17,17.60,18.15,1030700,11.91801
2012-03-01,18.00,19.59,17.950001,18.379999,257800,12.069037
2012-02-01,17.15,18.190001,17.049999,17.93,78500,11.311238
2012-01-03,15.43,17.24,15.40,17.030001,80900,10.743468
2011-12-01,14.68,16.09,14.45,15.26,127000,9.626854
2011-11-01,15.90,16.09,14.02,14.75,75000,9.126287
2011-10-03,16.25,16.629999,14.43,16.309999,109900,10.091509
2011-09-01,17.75,17.75,15.61,16.40,196600,10.147195
2011-08-01,18.200001,18.60,16.60,17.75,152000,10.982482
2011-07-22,19.00,19.10,17.32,18.02,1226600,11.14954
