Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,11.50,11.51,11.17,11.32,186800,56.599998
2013-03-01,10.05,11.56,9.50,11.51,77200,57.549999
2013-02-01,8.55,10.35,8.32,10.18,75600,50.900002
2013-01-02,8.34,9.09,8.21,8.51,50100,42.549999
2012-12-03,8.54,8.91,7.95,8.13,98100,40.650002
2012-11-01,8.89,9.07,7.75,8.54,63600,42.700001
2012-10-01,8.940001,9.080001,8.080001,8.88,65100,44.400002
2012-09-04,9.080001,10.00,8.71,8.87,94700,44.349998
2012-08-01,8.70,9.71,8.12,9.04,96600,45.200001
2012-07-02,9.490001,9.91,8.17,8.67,87900,43.349998
2012-06-01,8.56,9.64,8.12,9.57,176900,47.849998
2012-05-01,10.63,10.88,8.09,8.75,160200,43.75
2012-04-02,11.38,11.62,9.70,10.61,133500,53.049999
2012-03-01,11.25,11.490001,9.740001,11.38,173700,56.900002
2012-02-01,11.37,12.12,11.030001,11.16,111800,55.799999
2012-01-03,11.02,11.690001,10.47,11.25,114000,56.25
2011-12-01,13.47,13.80,10.62,10.80,176000,54.00
2011-11-01,12.530001,13.79,12.190001,13.55,100400,67.75
2011-10-03,11.240001,14.24,10.440001,13.00,112900,65.00
2011-09-01,13.55,13.70,11.190001,11.36,112400,56.799999
2011-08-01,16.52,16.690001,12.22,13.49,129800,67.449997
2011-07-01,15.99,17.50,15.910001,16.289999,71700,81.449997
2011-06-01,17.450001,17.550001,15.150001,16.160002,107900,80.800003
2011-05-02,17.690001,17.950001,16.18,17.40,83500,87.00
2011-04-01,18.289999,18.550001,16.810001,17.690001,87800,88.449997
2011-03-01,18.219999,18.43,16.780001,18.139999,105300,90.699997
2011-02-01,18.139999,18.43,17.660002,18.130001,118500,90.650002
2011-01-03,14.87,18.10,14.56,18.10,201100,90.50
2010-12-01,12.93,14.830001,12.93,14.760001,88300,73.800003
2010-11-01,12.080001,13.12,11.900001,12.87,28900,64.349998
2010-10-01,11.080001,12.48,10.91,12.01,36600,60.049999
2010-09-01,10.80,11.23,10.48,11.06,36900,55.299999
2010-08-02,12.080001,12.29,10.530001,10.68,42900,53.400002
2010-07-01,12.20,12.82,11.76,11.900001,34100,59.50
2010-06-01,12.50,13.87,11.98,12.240001,83500,61.200001
2010-05-03,13.400001,13.780001,11.59,12.59,67000,62.950001
2010-04-01,12.13,13.830001,12.06,13.38,54400,66.900002
2010-03-01,10.690001,12.66,10.690001,12.11,71600,60.549999
2010-02-01,10.86,11.440001,10.46,10.650001,29600,53.25
2010-01-04,11.650001,12.23,10.75,10.85,50200,54.25
2009-12-01,10.88,11.79,10.55,11.52,53400,57.599998
2009-11-02,10.73,11.490001,10.45,10.85,37000,54.25
2009-10-01,10.30,11.52,10.12,10.64,117900,53.200001
2009-09-01,9.72,10.60,9.63,10.35,271600,51.75
2009-08-03,9.690001,9.77,9.64,9.72,220700,48.599998
2009-07-01,9.60,9.67,9.57,9.67,16800,48.349998
2009-06-01,9.530001,9.60,9.52,9.59,31400,47.950001
2009-05-01,9.50,9.54,9.47,9.530001,22200,47.650002
2009-04-01,9.42,9.50,9.37,9.48,52600,47.400002
2009-03-02,9.400001,9.48,9.330001,9.42,15200,47.099998
2009-02-02,9.27,9.39,9.240001,9.38,27900,46.900002
2009-01-02,9.150001,9.400001,9.05,9.30,85900,46.50
2008-12-01,9.00,9.150001,8.940001,9.150001,10100,45.75
2008-11-03,9.01,9.150001,8.85,9.00,76700,45.00
2008-10-01,9.05,9.080001,8.46,9.080001,35200,45.400002
2008-09-02,9.35,9.36,8.89,8.95,33800,44.75
2008-08-01,9.23,9.35,9.20,9.34,30200,46.700001
2008-07-01,9.29,9.43,9.13,9.26,39500,46.299999
2008-06-02,9.22,9.900001,9.12,9.29,64000,46.450001
2008-05-01,9.14,9.30,9.030001,9.26,31700,46.299999
2008-04-01,9.41,9.41,9.00,9.13,30400,45.650002
2008-03-03,9.11,9.39,9.02,9.18,90200,45.900002
2008-02-01,9.20,9.22,9.01,9.12,66400,45.599998
2008-01-02,9.09,9.26,8.98,9.20,22200,46.00
2007-12-03,9.05,9.87,8.92,9.190001,59500,45.950001
2007-11-01,8.990001,9.150001,8.95,8.95,66800,44.75
2007-10-08,9.080001,9.20,8.98,8.990001,101300,44.950001
