Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,26.299999,26.32,25.83,26.24,77200,19.921848
2013-03-01,27.00,27.17,25.33,26.209999,25000,19.899071
2013-02-01,27.469999,27.85,26.58,27.18,32500,20.635513
2013-01-02,24.719999,27.370001,24.540001,27.26,34700,20.696249
2012-12-03,26.25,26.440001,24.129999,24.440001,34100,18.256987
2012-11-01,27.59,27.799999,23.379999,26.01,51100,19.429796
2012-10-01,26.879999,27.77,26.860001,27.60,43800,20.617546
2012-09-04,25.889999,26.799999,24.59,26.620001,42900,19.574425
2012-08-01,24.799999,25.969999,24.48,25.959999,38600,19.089108
2012-07-02,24.74,25.190001,23.280001,24.700001,61900,18.162596
2012-06-01,22.950001,25.629999,21.25,24.84,63500,17.962593
2012-05-01,25.700001,25.99,21.76,23.280001,50500,16.834509
2012-04-02,25.700001,25.780001,23.66,25.610001,66900,18.519405
2012-03-01,23.719999,25.93,23.719999,25.65,82800,18.257696
2012-02-01,22.690001,24.50,22.65,23.559999,93800,16.770033
2012-01-03,21.469999,22.68,21.110001,22.51,55600,16.022642
2011-12-01,20.26,21.49,19.700001,21.41,41600,14.977488
2011-11-01,20.00,20.84,19.00,20.209999,55000,14.13802
2011-10-03,19.469999,20.959999,17.690001,20.49,51300,14.333896
2011-09-01,20.559999,20.90,19.219999,19.48,33900,13.373626
2011-08-01,20.57,21.120001,17.50,20.52,65100,14.087619
2011-07-01,18.83,21.42,18.799999,20.469999,83700,14.053291
2011-06-01,19.24,19.35,17.540001,18.129999,122900,12.222116
2011-05-02,19.629999,19.85,18.10,19.34,43400,13.037824
2011-04-01,19.610001,19.92,18.809999,19.60,44700,13.213099
2011-03-01,18.42,19.60,17.49,19.559999,51300,12.975752
2011-02-01,18.00,18.68,17.860001,18.440001,64800,12.232764
2011-01-03,18.08,18.690001,17.25,17.65,62200,11.708692
2010-12-01,18.57,19.27,16.84,18.01,55100,11.748384
2010-11-01,16.74,18.299999,16.48,18.209999,65800,11.878849
2010-10-01,16.129999,16.790001,15.82,16.68,72700,10.880792
2010-09-01,14.65,16.15,14.65,16.049999,63200,10.281857
2010-08-02,15.29,15.63,13.80,14.59,75000,9.346561
2010-07-01,15.15,16.450001,14.66,15.09,68400,9.666868
2010-06-01,14.32,15.33,13.67,15.17,65700,9.540564
2010-05-03,16.209999,16.52,13.00,14.46,71300,9.094038
2010-04-01,15.98,17.00,15.52,16.17,60600,10.169474
2010-03-01,15.15,16.57,15.11,16.16,44400,9.980285
2010-02-01,14.58,15.47,13.33,15.07,56100,9.307109
2010-01-04,14.77,15.88,14.41,14.51,54000,8.961258
2009-12-01,13.52,15.11,13.30,14.55,50800,8.80552
2009-11-02,12.55,13.90,12.02,13.53,71700,8.188226
2009-10-01,13.32,14.39,12.48,12.49,66900,7.558828
2009-09-01,11.54,14.38,11.11,13.23,50300,7.837871
2009-08-03,13.66,13.99,11.48,11.64,48600,6.895905
2009-07-01,13.45,14.28,12.71,13.58,60500,8.045222
2009-06-01,12.51,13.82,12.02,13.26,71200,7.680164
2009-05-01,11.03,13.95,10.85,12.33,80900,7.14151
2009-04-01,9.14,11.75,9.10,10.91,82200,6.319049
2009-03-02,9.00,10.87,7.01,9.34,105600,5.23836
2009-02-02,11.95,13.12,9.09,9.09,88800,5.098147
2009-01-02,7.55,13.19,7.55,12.12,91500,6.797529
2008-12-01,9.02,9.48,6.26,7.51,92900,4.068036
2008-11-03,14.87,16.209999,7.72,9.63,62200,5.216403
2008-10-01,16.75,16.77,7.48,14.79,96400,8.011484
2008-09-02,22.84,23.00,15.16,16.93,75900,8.877111
2008-08-01,22.83,24.280001,21.469999,22.85,39500,11.981216
2008-07-01,22.85,23.719999,21.50,22.50,56300,11.797696
2008-06-02,23.879999,24.049999,20.870001,22.950001,60500,11.808121
2008-05-01,22.15,24.639999,22.15,23.870001,53800,12.281474
2008-04-01,24.92,25.280001,22.10,22.18,91000,11.411943
2008-03-03,23.90,25.620001,22.35,24.90,72200,12.5869
2008-02-01,23.379999,25.07,23.200001,23.76,54700,12.010633
2008-01-02,22.85,24.040001,20.74,23.41,56000,11.833708
2007-12-03,23.049999,24.030001,21.23,22.91,66800,11.580959
2007-11-01,25.41,25.559999,22.09,23.139999,41900,11.496727
2007-10-01,25.40,26.719999,24.559999,25.610001,44800,12.723907
2007-09-04,25.10,26.440001,23.629999,25.48,45900,12.460595
2007-08-01,25.77,26.200001,22.33,25.10,56300,12.274762
2007-07-02,25.280001,28.559999,25.120001,25.940001,77600,12.685552
2007-06-01,26.60,26.950001,24.68,25.18,66100,12.140512
2007-05-01,27.00,27.120001,25.469999,26.41,38800,12.733554
2007-04-02,24.950001,27.57,24.75,27.01,75300,13.022844
2007-03-01,24.43,25.02,24.309999,24.91,55200,11.86541
2007-02-01,24.35,25.00,24.120001,24.950001,70600,11.884464
2007-01-03,23.940001,24.450001,22.90,24.299999,67800,11.574848
2006-12-01,22.299999,23.940001,22.049999,23.940001,199900,11.403369
2006-11-01,22.85,22.959999,21.75,22.32,135600,10.527294
2006-10-02,23.00,23.08,21.559999,22.700001,106700,10.706522
2006-09-21,24.940001,24.950001,22.299999,22.90,689400,10.800853
