Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,25.18,25.200001,25.129999,25.16,34800,20.113403
2013-03-01,25.059999,26.99,24.969999,25.16,47000,20.113403
2013-02-01,25.200001,25.58,25.049999,25.049999,28500,20.025467
2013-01-02,24.93,25.379999,24.93,25.15,37400,19.785301
2012-12-03,24.92,25.110001,24.780001,24.870001,31600,19.565029
2012-11-01,25.129999,25.280001,24.68,24.950001,37000,19.627964
2012-10-01,24.889999,25.23,24.75,25.08,41900,19.413237
2012-09-04,24.57,24.99,24.549999,24.879999,47300,19.258425
2012-08-01,24.75,25.360001,24.559999,24.58,54700,19.026211
2012-07-02,23.91,25.01,23.77,24.74,79200,18.840054
2012-06-01,21.93,24.049999,21.43,23.969999,66800,18.253681
2012-05-01,23.40,23.790001,20.610001,22.309999,65400,16.989555
2012-04-02,23.549999,23.799999,22.85,23.450001,61100,17.545855
2012-03-01,22.610001,23.85,22.299999,23.60,80600,17.658087
2012-02-01,21.73,22.870001,21.73,22.68,60700,16.969721
2012-01-03,20.02,22.00,19.639999,21.620001,54100,15.887787
2011-12-01,19.940001,20.43,18.690001,19.799999,62800,14.550331
2011-11-01,20.700001,21.049999,19.07,19.90,48500,14.623818
2011-10-03,19.35,21.76,16.629999,21.25,51000,15.30601
2011-09-01,21.84,21.84,18.00,19.43,58800,13.995096
2011-08-01,22.26,22.42,15.56,21.73,115700,15.651746
2011-07-01,23.16,23.379999,21.700001,22.129999,58200,15.645563
2011-06-01,23.549999,23.719999,22.129999,23.16,53200,16.373756
2011-05-02,23.10,24.17,23.040001,23.639999,62200,16.71311
2011-04-01,22.610001,23.10,22.26,23.10,46300,16.054836
2011-03-01,22.52,22.91,22.049999,22.74,50900,15.80463
2011-02-01,21.50,23.200001,21.50,22.459999,59100,15.610025
2011-01-03,21.780001,22.08,21.23,21.530001,50900,14.698832
2010-12-01,22.110001,22.389999,20.23,21.75,63300,14.849028
2010-11-01,22.90,23.379999,21.58,22.030001,84500,15.040188
2010-10-01,23.33,23.370001,22.26,22.860001,92600,15.32585
2010-09-01,22.200001,24.059999,22.030001,23.32,118500,15.634243
2010-08-02,20.40,22.559999,20.35,22.16,84300,14.856553
2010-07-01,17.639999,20.40,17.49,20.33,62200,13.384395
2010-06-01,17.00,17.85,16.48,17.620001,47500,11.600248
2010-05-03,19.33,19.66,15.20,17.139999,114400,11.284236
2010-04-01,20.450001,20.459999,19.200001,19.280001,49900,12.388366
2010-03-01,19.52,20.57,19.440001,20.48,79500,13.159425
2010-02-01,18.889999,20.10,18.17,19.540001,43700,12.555429
2010-01-04,18.110001,19.879999,18.09,18.67,60700,11.751412
2009-12-01,16.75,18.26,16.16,18.049999,44400,11.361167
2009-11-02,16.50,17.860001,15.24,17.00,64600,10.700269
2009-10-01,16.73,17.25,15.15,16.24,75700,9.988621
2009-09-01,12.75,16.92,12.46,16.67,81000,10.253098
2009-08-03,16.780001,19.50,12.02,12.93,132800,7.952764
2009-07-01,15.24,16.59,14.19,16.43,53700,9.810528
2009-06-01,14.87,15.45,13.01,14.89,35700,8.890978
