Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,13.43,13.53,13.34,13.41,165000,10.196665
2013-03-01,13.31,13.56,13.11,13.40,88600,10.189061
2013-02-01,13.24,13.46,13.04,13.35,78000,9.955397
2013-01-02,12.56,13.44,12.54,13.22,113800,9.858453
2012-12-03,12.77,12.77,12.23,12.42,86900,9.261874
2012-11-01,12.94,13.09,11.89,12.70,78000,9.276789
2012-10-01,13.05,13.25,12.68,12.94,82800,9.452098
2012-09-04,12.70,13.29,12.68,13.00,100900,9.495926
2012-08-01,12.45,12.79,12.30,12.73,64100,9.114148
2012-07-02,12.20,12.59,12.15,12.41,76300,8.885041
2012-06-01,12.00,12.39,11.77,12.19,68800,8.72753
2012-05-01,12.81,12.90,11.82,12.18,62600,8.5333
2012-04-02,12.80,12.95,12.27,12.78,78500,8.95366
2012-03-01,13.08,13.27,12.64,12.76,69700,8.939649
2012-02-01,12.90,13.20,12.80,13.08,77100,8.983066
2012-01-03,12.00,12.90,11.97,12.88,79800,8.84571
2011-12-01,11.87,12.23,11.44,11.97,92800,8.220741
2011-11-01,11.91,12.27,11.37,11.84,76000,7.954245
2011-10-03,11.53,12.29,10.79,12.12,70800,8.142352
2011-09-01,12.72,12.78,11.36,11.63,79300,7.813165
2011-08-01,13.20,13.22,11.13,12.70,109700,8.353251
2011-07-01,13.42,13.79,12.86,13.01,70600,8.557149
2011-06-01,13.73,13.74,13.06,13.47,82400,8.859707
2011-05-02,13.77,13.77,13.21,13.70,59000,8.835096
2011-04-01,13.54,13.80,13.28,13.74,62500,8.860891
2011-03-01,13.51,13.72,13.03,13.50,71300,8.706117
2011-02-01,13.22,13.63,13.18,13.48,92100,8.525421
2011-01-03,13.06,13.59,12.82,13.11,118300,8.291414
2010-12-01,13.42,13.74,12.63,13.03,65700,8.240818
2010-11-01,13.19,13.92,12.75,13.37,74900,8.288664
2010-10-01,12.82,13.19,12.67,13.13,71100,8.139877
2010-09-01,12.25,12.99,12.25,12.79,72100,7.929096
2010-08-02,12.40,12.65,11.90,12.08,62400,7.335376
2010-07-01,11.36,12.48,11.03,12.20,72800,7.408244
2010-06-01,11.66,12.34,11.40,11.45,62000,6.952819
2010-05-03,12.86,13.06,10.61,11.88,135500,7.079144
2010-04-01,12.57,12.97,12.55,12.77,65700,7.609484
2010-03-01,12.19,12.90,12.19,12.55,71600,7.478389
2010-02-01,11.74,12.18,11.22,12.15,74900,7.108915
2010-01-04,12.19,12.56,11.57,11.62,97200,6.798814
2009-12-01,11.90,12.35,11.66,12.13,74400,7.097213
2009-11-02,11.03,11.84,10.90,11.77,67200,6.756109
2009-10-01,11.80,12.19,10.93,11.02,91900,6.325601
2009-09-01,10.99,12.18,10.86,11.87,70600,6.813509
2009-08-03,11.31,11.72,10.77,11.05,89200,6.221954
2009-07-01,9.92,11.24,9.57,11.10,70500,6.250108
2009-06-01,9.92,10.34,9.24,9.90,76200,5.57442
2009-05-01,8.97,9.88,8.86,9.88,82700,5.412199
2009-04-01,8.09,9.19,8.08,9.03,76800,4.946575
2009-03-02,7.71,8.56,6.80,8.25,95400,4.519296
2009-02-02,9.05,9.73,7.50,8.00,84600,4.224372
2009-01-02,9.25,11.21,8.51,9.05,81800,4.778821
2008-12-01,8.36,9.25,7.61,9.16,110600,4.836906
2008-11-03,9.98,10.54,6.55,8.34,114700,4.341449
2008-10-01,11.18,11.80,3.00,9.91,133400,5.096546
2008-09-02,14.25,14.40,10.15,11.16,109600,5.657803
2008-08-01,14.38,14.91,13.72,14.06,55500,7.066266
2008-07-01,15.14,15.66,13.13,14.38,72200,7.16856
2008-06-02,16.10,16.33,15.08,15.31,65600,7.570192
2008-05-01,15.68,16.33,15.68,16.09,72000,7.897086
2008-04-01,15.06,15.95,15.05,15.62,69700,7.610392
2008-03-03,15.55,15.96,14.27,15.07,92600,7.286595
2008-02-01,16.440001,16.68,14.98,15.57,94800,7.469833
2008-01-02,15.98,16.98,14.95,16.34,129700,7.782773
2007-12-03,16.35,16.98,15.30,15.97,239100,7.553114
2007-11-01,16.75,16.77,14.92,16.379999,186100,7.567021
2007-10-01,17.200001,17.58,16.65,16.75,121100,7.680559
2007-09-04,17.15,18.15,16.610001,17.08,114100,7.778242
2007-08-01,17.00,17.75,15.10,17.51,132600,7.919955
2007-07-02,18.309999,19.190001,16.60,17.09,103800,7.676613
2007-06-01,19.690001,19.90,17.92,18.360001,93400,8.195373
2007-05-01,19.620001,19.98,18.84,19.620001,81100,8.703495
2007-04-02,20.07,20.24,19.52,19.639999,57600,8.660048
2007-03-01,19.42,20.10,19.24,20.02,49400,8.775807
2007-02-01,20.690001,20.809999,19.07,19.58,56100,8.53191
2007-01-03,20.40,20.799999,19.75,20.629999,57500,8.937009
2006-12-01,20.40,21.00,20.10,20.42,44900,8.795177
2006-11-28,20.190001,20.40,20.059999,20.40,53800,8.718482
