Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,6.37,6.38,6.27,6.33,1208400,6.1396
2013-03-01,6.00,6.38,5.95,6.37,545200,6.1784
2013-02-01,5.80,6.23,5.75,5.98,656500,5.80013
2013-01-01,5.57,5.80,5.20,5.79,542000,5.61584
2012-12-03,4.72,5.62,4.68,5.57,546800,5.40246
2012-11-01,5.13,5.23,4.65,4.68,589400,4.47722
2012-10-01,5.21,5.57,5.03,5.13,216700,4.90772
2012-09-03,4.90,5.45,4.89,5.17,268000,4.94599
2012-08-01,4.57,4.95,4.45,4.90,183600,46.24216
2012-07-02,4.15,4.69,4.09,4.55,198900,42.93915
2012-06-01,3.86,4.26,3.85,4.15,277100,39.16428
2012-05-01,4.14,4.25,3.86,3.93,261700,36.50439
2012-04-02,4.00,4.23,3.96,4.15,381500,38.54789
2012-03-01,4.07,4.21,3.85,4.03,297100,37.43325
2012-02-01,4.20,4.27,4.00,4.03,880600,36.81882
2012-01-02,4.04,4.41,4.04,4.16,280100,38.00652
2011-12-01,4.09,4.33,3.98,4.04,245700,36.91018
2011-11-01,3.77,4.18,3.58,4.15,198800,37.32131
2011-10-03,3.57,4.20,3.06,3.91,227900,35.16297
2011-09-01,3.97,4.05,0.007,3.61,275500,32.46504
2011-08-01,4.48,4.50,3.45,3.99,381000,35.27185
2011-07-01,4.91,5.02,0.008,4.45,272100,39.33828
2011-06-01,5.06,5.11,4.66,4.91,272700,43.40471
2011-05-02,5.60,5.61,0.01,5.11,302300,44.57834
2011-04-01,5.50,5.63,5.25,5.60,540100,48.85298
2011-03-01,5.39,5.86,5.16,5.48,851900,47.80613
2011-02-01,5.55,5.82,0.008,5.37,297200,46.32151
2011-01-03,5.89,6.01,0.006,5.52,128300,47.61541
2010-12-01,6.20,6.20,5.74,5.82,163600,50.2032
2010-11-01,5.90,6.32,0.005,6.10,192400,52.04074
2010-10-01,5.62,6.09,5.54,5.86,129800,49.99324
2010-09-01,5.23,5.81,0.005,5.59,156400,47.68979
2010-08-02,5.01,5.31,4.70,5.14,235100,43.38173
2010-07-01,4.62,5.26,0.005,4.90,177000,41.35612
2010-06-01,5.07,5.70,4.44,4.61,345000,38.90852
2010-05-03,5.89,6.29,0.006,0.006,239400,0.05003
2010-04-01,5.58,6.30,5.26,5.83,227500,48.61606
2010-03-01,4.42,5.72,4.20,5.55,251100,46.28116
2010-02-01,4.62,4.92,0.006,4.40,197500,36.28743
2010-01-04,4.44,4.98,0.008,4.59,259800,37.85439
2009-12-01,4.38,5.07,4.32,4.38,264600,36.12249
