Date,Open,High,Low,Close,Volume,Adj Close
2013-04-01,4.95,4.95,4.95,4.95,2200,4.277652
2013-03-01,4.67,5.07,4.33,4.97,5800,4.294935
2013-02-01,5.21,5.36,4.31,4.71,6200,4.070251
2013-01-02,3.99,5.40,3.82,5.23,20700,4.51962
2012-12-03,4.20,5.00,3.95,3.95,20900,3.41348
2012-11-01,3.29,4.43,3.09,4.25,11200,3.28949
2012-10-01,3.24,3.50,3.08,3.40,3500,2.631592
2012-09-04,3.10,3.55,3.07,3.12,5200,2.414873
2012-08-01,2.40,3.40,2.40,3.02,14700,2.337473
2012-07-02,3.49,3.62,2.40,2.55,2200,1.973694
2012-06-01,3.25,3.88,2.78,3.46,19500,2.678032
2012-05-01,3.20,3.53,3.01,3.30,9400,2.554192
2012-04-02,4.13,4.13,3.02,3.30,6800,2.554192
2012-03-01,3.64,4.15,3.36,3.75,10600,2.902491
2012-02-01,2.27,3.78,2.24,3.65,13100,2.825092
2012-01-03,2.20,2.75,2.10,2.32,3400,1.795675
2011-12-01,2.54,2.90,1.91,2.17,14900,1.679575
2011-11-01,2.51,2.70,2.44,2.67,10600,1.693658
2011-10-03,2.54,2.63,1.80,2.63,4700,1.668285
2011-09-01,2.34,2.80,2.16,2.57,5800,1.630225
2011-08-01,3.06,3.06,2.05,2.30,27400,1.458956
2011-07-01,3.27,3.57,2.50,3.07,12000,1.94739
2011-06-01,3.50,3.66,1.85,3.22,18600,2.042539
2011-05-02,3.76,3.77,3.29,3.50,44600,2.220151
2011-04-01,3.91,4.06,3.20,3.69,50800,2.340674
2011-03-01,4.02,4.23,3.74,3.92,9500,2.486569
2011-02-01,4.30,4.80,3.90,3.99,34300,2.530972
2011-01-03,4.10,5.14,4.01,4.35,34000,2.759331
2010-12-01,4.75,5.23,3.80,4.00,14000,2.537316
2010-11-01,4.94,5.44,4.72,4.75,4800,3.013062
2010-10-01,5.01,5.48,4.88,4.95,3400,3.139928
2010-09-01,3.91,5.48,3.75,4.99,10500,3.165301
2010-08-02,5.60,5.60,3.87,3.89,7400,2.46754
2010-07-01,3.39,5.75,3.29,5.59,32100,3.545899
2010-06-01,4.34,4.44,3.04,3.35,56500,2.125002
2010-05-03,5.12,5.78,4.16,4.50,13100,2.85448
2010-04-01,5.90,6.02,5.10,5.12,13300,3.247764
2010-03-01,6.66,6.80,5.17,5.93,21400,3.76157
2010-02-01,6.05,6.85,5.85,6.80,13500,4.313437
2010-01-04,6.49,7.00,6.01,6.01,8100,3.812317
2009-12-01,7.15,7.15,5.81,6.39,7100,4.053361
2009-11-02,7.00,7.96,6.72,6.86,15600,4.351496
2009-10-01,7.30,7.57,6.40,7.00,16400,4.440302
2009-09-01,7.48,8.08,6.82,7.20,18100,4.567168
2009-08-03,8.17,8.25,6.91,7.40,49700,4.694034
2009-07-01,6.90,8.80,6.16,8.08,38300,5.125378
2009-06-01,5.79,8.90,5.41,7.00,43700,4.440302
2009-05-01,5.80,5.95,4.28,5.79,82500,3.672764
2009-04-01,5.36,6.50,5.32,5.83,40200,3.698138
2009-03-02,4.75,6.51,4.60,5.44,23200,3.450749
2009-02-02,4.30,4.99,4.22,4.83,22600,3.063808
2009-01-02,3.81,4.92,3.81,4.36,31700,2.765674
2008-12-01,3.12,4.95,2.98,3.98,30600,2.524629
2008-11-03,3.70,4.25,2.08,3.19,33000,2.023509
2008-10-01,4.00,4.85,3.43,3.51,57800,2.226495
2008-09-02,4.25,5.00,3.00,4.00,99800,2.537316
2008-08-01,6.36,6.59,3.41,4.08,146600,2.588062
2008-07-30,6.50,7.00,6.15,6.15,1420900,3.901123
